Feature,Importance
Length of Hospitalization,0.5983718029017804
ZFYVE1,0.11055550499350962
RPL29,0.07626743629060011
GRB10,0.026334225836804708
TLR6,0.02208436945956605
Remdesivir_Yes,0.020550486049198676
SLC2A4RG,0.020304753399592847
PGRMC2,0.016631838417143274
TRBV3-1,0.015317015142989646
RCN2,0.014275955317617111
CD37,0.011907759828670856
RPL11P3,0.010267338262563945
RPL31,0.008054761742758394
PPP1R3E,0.007583351577212061
SUSD1,0.0071082665780023875
ABALON,0.003333654169662047
POP5,0.002768573539493134
MRPL30,0.002594259745209198
RBPJ,0.002479168748360602
CPEB4,0.0023854676195078236
DHX32,0.002165643294747431
RNLS,0.0015936927868401842
ENSG00000204282,0.0011303255035230173
C18orf32,0.0010663036436898347
SAP30,0.0010342331749995809
ENSG00000282572,0.0009565744597440056
TBP,0.0009541224684778849
INPP5A,0.0008949666108796457
KIF11,0.0008797422833000982
USP48,0.0008562354911881465
GPR180,0.0008116140618175236
DCUN1D4,0.0006811438773794819
PCNA,0.0006446026059395505
TOMM20,0.0006336167861447573
STK40,0.0005988038172250039
TRIM39,0.00047847167643988003
RBM3,0.00047549551327385163
MCL1,0.00041789719081300973
PPM1K,0.0003950248839246974
ENSG00000276533,0.00032285133629817694
LINC02289,0.00031888912835119137
DDX50,0.0003043953547530924
RBM45,0.0002663585254333077
LTV1,0.0002435011062993281
ATP5F1B,0.00024089441068054967
CRCP,0.00016843386716003242
ZNF775,0.0001528103143085894
LSM12,0.00014198002017072552
MTMR3,0.0001259161525076307
OPLAH,0.00011241431457072037
APOBEC3H,0.00010739737766167219
POLE4,0.00010736531332441315
WIPI2,0.00010002200915929276
MRTFB,9.844481642523321e-05
ICAM3,9.316092083240006e-05
RNF10,9.038486610984839e-05
H2BC10,9.03316731572858e-05
RWDD2B,7.455304187443528e-05
SMN1,7.188471911987464e-05
STEAP4,6.897328561376856e-05
DUSP23,6.657247002371595e-05
HLA-DRA,6.20783739082678e-05
RNASE1,5.093853066702941e-05
EOLA2-DT,4.4415256324071134e-05
KANK2,4.38230594235011e-05
TTC21B,4.243555986070762e-05
WDSUB1,3.7863082304791725e-05
ZDHHC21,3.6629107746706784e-05
DBT,2.813644350631881e-05
SRGAP2C,2.7181451882180078e-05
PTGES3,2.6033583625542916e-05
DGKG,2.4192172197100537e-05
ZSWIM8,2.22489682772526e-05
LINC00680,2.1901098914861825e-05
COG1,1.9143496484610805e-05
TNRC6B,1.8859431957199827e-05
HTATSF1,1.880053559448068e-05
MOB3C,1.459627817267059e-05
CEP41,1.3852123854304939e-05
ARHGEF9,1.359961784445587e-05
SLC7A7,1.3352816406281212e-05
CLIC2,1.2152419017214975e-05
ZNF528,1.1516734272433686e-05
NSMAF,1.0125760878440207e-05
IRS1,9.626103582900059e-06
CEP43,9.466024702684285e-06
PDXP,9.46548998087394e-06
DYRK3,9.25616419830502e-06
MAVS,8.860283461861549e-06
ZNF217,7.543164840272137e-06
TRBV12-3,7.416587155339223e-06
LINC00989,7.381618293607828e-06
NTPCR,6.666821982860636e-06
HDAC8,6.5790633479473695e-06
ZFAND5,5.537798100303287e-06
ANKH,5.2598761757434305e-06
ZDHHC3,4.904781568418437e-06
TTC3,4.809044144151087e-06
IL17RA,4.793648693450833e-06
RARA,4.620817659871285e-06
NAV1,4.296067284142642e-06
DNAJC16,4.283510309560035e-06
DNAJC2,4.2510989006307106e-06
TPX2,3.6520233936304356e-06
ZNF512B,3.369986079430356e-06
ZNF174,3.249721723454086e-06
UTP15,2.944568559320183e-06
C10orf88,2.906274487074513e-06
TXLNGY,2.609072329118843e-06
IGKV2D-28,2.6040203437201637e-06
LOC101928834,2.432949886307831e-06
RNF24,2.327093975979901e-06
ENSG00000223745,2.32486280878563e-06
THEM6,2.1302642803453393e-06
CDAN1,2.0370414048332144e-06
RAN,1.7601560860886522e-06
POMT2,1.7161195999508678e-06
IFNAR2,1.3578879060325916e-06
ENSG00000267174,1.301179545191137e-06
THEM5,1.2856530429084385e-06
NUDT16L2P,1.1989428481170492e-06
WDR25,1.0133194678216439e-06
DTL,7.85879502934291e-07
MBD3,7.260476570880543e-07
NAA30,6.530496747888047e-07
ENSG00000280407,6.340927680886947e-07
ADA,6.248712098948758e-07
CLPB,3.9840980017880023e-07
NRN1,3.909037254943306e-07
RABL2A,2.83112932827808e-07
IGLV2-8,2.7352839182008573e-07
TLE4,2.3535630425055234e-07
FBXL16,1.8817228030093372e-07
SMARCA4,1.8785951972326115e-07
PHYKPL,1.583852086872089e-07
TRAV3,1.4958637808550937e-07
UBA2,1.4806160387424593e-07
RAD21,1.1894186838591808e-07
OR2B6,1.0897911062454871e-07
PPM1M,1.0636600958230017e-07
SAMD4B,8.842221984208099e-08
SLC49A3,7.630444381713863e-08
ATP11A,7.010239781047294e-08
MAP2K3,6.653175294012687e-08
PKD1,4.6943406198786783e-08
RAP1GAP2,3.919218888865141e-08
SH3BP5L,3.724408673685518e-08
MTERF4,3.502125427034441e-08
CAPRIN2,3.418717215154591e-08
EMC4,3.366541686982199e-08
USB1,2.3787653402806372e-08
ANO10,2.0759723735670054e-08
ENSG00000244313,1.5613319715634124e-08
MAP3K11,1.0809964120786801e-08
FAM216A,1.0019733998166315e-08
RAB29,8.751814734262675e-09
AIF1,8.642952862342306e-09
WWP1,7.662289761021515e-09
DCUN1D1,6.939096492672244e-09
RNF220,6.1940000752487336e-09
ENSG00000276345,6.08138968047403e-09
ZWINT,5.550802322849451e-09
TOX4,4.435827252260886e-09
ZNF343,4.331497188773381e-09
RACGAP1,3.346459244018421e-09
SLC45A4,2.426032748093978e-09
PAXIP1-DT,1.9909332337145443e-09
KDM4C,1.4808903638566465e-09
UTP18,6.644952408648538e-10
NIFK,5.655464484709305e-10
HARBI1,4.946667589257928e-10
USF3,2.2027730137076303e-10
DCBLD1,1.4337027973665637e-10
CIR1,3.181665783281483e-11
OCIAD2,1.429176173365961e-11
BDH2,1.2082543126664614e-11
CCNT2,1.0078347489451192e-11
CSTF2,8.95137051386529e-12
PUSL1,6.886115076956339e-12
NFIL3,2.37664404763257e-12
FECH,8.009207483173299e-13
PRPF18,6.973007549271647e-13
FASTKD3,4.5063149941122333e-13
FOXJ2,3.102511946854586e-13
UBE2O,1.6290991449135448e-13
TFAP4,1.583151824420768e-13
EPB41,1.4764382457741188e-13
KLHL18,5.040794623922533e-14
