Feature,Mean_ABS_SHAP
TXLNGY,0.05474728884663777
ENSG00000276345,0.0467167112766894
EPB41,0.021025684223306917
Length of Hospitalization,0.01982961074422879
RNF220,0.018932014678076207
FOXJ2,0.016578682103045354
RCN2,0.015896028852149992
SLC45A4,0.014641171196211444
DCUN1D1,0.013999243427260232
TNRC6B,0.013992671552436149
SUSD1,0.012370498599130638
RPL29,0.012276757927569397
DNAJC16,0.011067557242129468
RBM3,0.009085000979881542
DGKG,0.008986238561972757
DTL,0.008795988001837922
HARBI1,0.008147815125465916
FECH,0.006856022942445732
DCBLD1,0.006771632925667905
RNF10,0.006150777237048746
BDH2,0.005716583457983302
KIF11,0.005565150560904507
LTV1,0.005361338932342007
STK40,0.004873970024623931
MAVS,0.004543602926419047
ZFYVE1,0.004434233310035446
RACGAP1,0.004351130536779688
TFAP4,0.004265839155128668
ZNF512B,0.003837195435098005
RPL31,0.0037595016684373295
SAP30,0.0030323024726436683
DCUN1D4,0.0027343040104952027
KLHL18,0.0027106942260393665
ADA,0.002595488676332482
TRAV3,0.0024305795058330343
DNAJC2,0.0023236995511824077
CEP43,0.0023164674262573775
TPX2,0.0021067817180219026
ZNF217,0.0020780645511791996
NAV1,0.0020565665418751417
TOMM20,0.001983326761526891
FAM216A,0.0018209298068749024
MOB3C,0.0016955700357163773
LINC00989,0.0016657981468848142
TLR6,0.001630045401559798
PRPF18,0.0015508338848425943
CLIC2,0.0015252592123908815
RBM45,0.0015149027534093681
HDAC8,0.001482959185891198
APOBEC3H,0.0014626809891067664
WWP1,0.001429235179429863
MAP2K3,0.0014201454665153954
GRB10,0.0013989752799679939
IGKV2D-28,0.0013603368518198598
SMARCA4,0.0013532846168217432
ENSG00000279453,0.0013409933316101497
ZNF528,0.0012365372397982488
SLC2A4RG,0.0012230132382155502
H2BC10,0.0011358388237380844
LSM12,0.0010851848453463685
NAA30,0.0010686730685175823
TBP,0.0010586841113964837
TTC21B,0.000862234347302094
NSMAF,0.0008573345817988332
PKD1,0.0007001902214634979
UTP15,0.0006250841687634157
ZDHHC21,0.0005584110764722058
LINC02289,0.0005445461439539475
OCIAD2,0.0004026444360925933
SH3BP5L,0.00039696235758084433
PDXP,0.00030188452263063255
HLA-DRA,0.0
ENSG00000280407,0.0
RTCB,0.0
RAP1GAP2,0.0
NIFK,0.0
PAXBP1,0.0
ZSWIM8,0.0
KDM4C,0.0
MCL1,0.0
RBPJ,0.0
RPL7AP50,0.0
SRGAP2C,0.0
ICAM3,0.0
ENSG00000282572,0.0
TRBV3-1,0.0
MRTFB,0.0
RNF24,0.0
HTATSF1,0.0
POP5,0.0
MTERF4,0.0
UTP18,0.0
ENSG00000204282,0.0
MTMR3,0.0
COG1,0.0
COMMD9,0.0
DUS4L,0.0
CLPB,0.0
RARA,0.0
ABALON,0.0
WDSUB1,0.0
RNASE1,0.0
LOC101928834,0.0
PPM1K,0.0
GPR180,0.0
AIF1,0.0
INPP5A,0.0
SLC49A3,0.0
IFNAR2,0.0
NTPCR,0.0
CDAN1,0.0
RAB29,0.0
RPL11P3,0.0
THEM5,0.0
NRN1,0.0
CD37,0.0
RWDD2B,0.0
CAPRIN2,0.0
ENSG00000244313,0.0
WIPI2,0.0
ATP5F1B,0.0
ENSG00000225138,0.0
ENSG00000276533,0.0
USB1,0.0
EOLA2-DT,0.0
IRS1,0.0
LINC00680,0.0
RAD21,0.0
ENSG00000223745,0.0
IL17RA,0.0
DDX50,0.0
IGLV2-8,0.0
CRCP,0.0
TRIM39,0.0
C10orf88,0.0
KANK2,0.0
PSMB6,0.0
DBT,0.0
DHX32,0.0
POLE4,0.0
CCNT2,0.0
MRPL30,0.0
OPLAH,0.0
ZNF343,0.0
OR2B6,0.0
USP48,0.0
RAN,0.0
PGRMC2,0.0
SLC7A7,0.0
RNLS,0.0
DGKE,0.0
ANKH,0.0
EMC4,0.0
TTC3,0.0
FASTKD3,0.0
DUSP23,0.0
ZDHHC3,0.0
POMT2,0.0
TLE4,0.0
FBXL16,0.0
CENPK,0.0
SAMD4B,0.0
ZNF775,0.0
CEP41,0.0
PCNA,0.0
RABL2A,0.0
NFIL3,0.0
Remdesivir_Yes,0.0
SMN1,0.0
USF3,0.0
CPEB4,0.0
ENSG00000267174,0.0
ATP11A,0.0
PPP1R3E,0.0
PTGES3,0.0
ZFAND5,0.0
PPM1M,0.0
CSTF2,0.0
THEM6,0.0
TOX4,0.0
UBE2O,0.0
STEAP4,0.0
UBA2,0.0
PHYKPL,0.0
PUSL1,0.0
ZWINT,0.0
CIR1,0.0
WDR25,0.0
DYRK3,0.0
OSBPL10,0.0
MAP3K11,0.0
ZNF174,0.0
MBD3,0.0
C18orf32,0.0
ANO10,0.0
ARHGEF9,0.0
HSBP1,0.0
NUDT16L2P,0.0
PAXIP1-DT,0.0
TRBV12-3,0.0
