Feature,Mean_ABS_SHAP
WHO Scale,0.6412603172419643
SOFA,0.3259285379746795
Sex at Birth_Female,0.2384852715694258
Sex at Birth_Male,0.2384852715694258
Age at Admission,0.23823455470160868
Race_American Indian / Alaska Native,0.05665307860082352
Dementia_No,0.042435178742801456
Dementia_Yes,0.04243517874280144
Race_White,0.04014819573860463
Race_Native Hawaiian / Other Pacific Islander,0.03535036278447528
Race_Asian,0.01665853469499023
Race_Other / Multiple Races,0.0072447322422941945
Race_Black / African American,0.005866599974962383
