Model,AUC,Precision,Recall,F1_Score,SHAP_Analysis
Residual_LSTM,0.9021739130434783,0.8275862068965517,0.8571428571428571,0.8421052631578946,✅ Success
Bidirectional_LSTM,0.8742236024844721,0.7647058823529411,0.9285714285714286,0.8387096774193548,✅ Success
LSTM,0.860248447204969,0.7567567567567568,1.0,0.8615384615384615,✅ Success
Bidirectional_GRU,0.8571428571428572,0.7368421052631579,1.0,0.8484848484848483,✅ Success
Ensemble,0.8555900621118012,0.7878787878787878,0.9285714285714286,0.8524590163934425,✅ Success
Optimized_Weighted_Ensemble,0.8555900621118012,0.7878787878787878,0.9285714285714286,0.8524590163934425,✅ Success
GRU,0.8524844720496895,0.7297297297297297,0.9642857142857143,0.8307692307692306,✅ Success
Attention_LSTM,0.8354037267080745,0.7,1.0,0.8235294117647057,✅ Success
CNN_LSTM,0.813664596273292,0.7647058823529411,0.9285714285714286,0.8387096774193548,✅ Success
Deep_CNN,0.781055900621118,0.7666666666666667,0.8214285714285714,0.7931034482758619,✅ Success
Transformer,0.6288819875776397,0.6666666666666666,0.8571428571428571,0.7499999999999999,✅ Success
