Feature,Importance
SLC36A1,0.4564941007582456
ENSG00000282572,0.10003554772610117
RPL29,0.06919593101256316
MTMR3,0.051495814898992597
RBMX,0.04763701231942099
ARL4C,0.029256165075057013
RCN2,0.026341635510778023
PI4KB,0.02513979297166331
LSM12,0.024026357480525597
ZBTB25,0.018219700718012388
STEAP4,0.014130766309413137
MAP2K3,0.013961464712444513
PSMC1,0.012993503896209154
MAVS,0.010389280623488796
CTBP1,0.010322728468931428
KLHL21,0.010296904417313353
PPM1K,0.00957729546289161
GPR180,0.007431822935159312
ENSG00000276533,0.00579458589975772
EFEMP2,0.005787082122528311
CCNB2,0.005459485267583358
SMN1,0.005419287481000511
ZNF875,0.004312128093412848
TFAP4,0.0041984238546196855
LINC00641,0.0040836695190949466
OSBPL10,0.003948750650328259
CD27,0.002609582179250755
DCBLD1,0.0024416691637225464
ENSG00000280392,0.00238513585471055
ZFYVE1,0.0020945025297319903
RPS7,0.0015764356793222137
MTERF4,0.0013171926874443677
IL1R2,0.0011958027294993454
DNAJC2,0.0010156391115709233
UBE2O,0.0008636505660207163
HDAC8,0.000822898760908671
KDM4C,0.0008186534138415664
KLF8,0.0007511918662608681
YOD1,0.0006928206212844841
IQCB1,0.0006908598620476616
TXLNGY,0.000615431288433291
LINC00989,0.0003737328931955377
ENSG00000244313,0.0003666946317238202
BNIP3,0.00035717231342506206
ENSG00000204282,0.0003233613714093129
CLPB,0.0003015540093146336
EEF1AKMT2,0.0002797683284875146
RNASE1,0.00017864615209999395
IGKV1-8,0.00016668785767482433
LRRC41,0.00016539859244804234
RPL31,0.0001592007186090696
C18orf32,0.00014205104019320467
TMEM170B,0.00011693774123741546
POP5,0.00010670122490019949
MRTFB,0.00010544519024091272
RFC4,9.457719514493724e-05
APOBEC3H,7.098426079703011e-05
CNOT7,4.4247581061691986e-05
DUS4L,4.2334346050579554e-05
TOX4,4.1850812592244585e-05
DCUN1D1,3.424461216152614e-05
TBP,2.962364256253539e-05
ZSWIM8,2.860600043389549e-05
IL17RA,2.8212471431584187e-05
SLC49A3,2.7882069426161663e-05
SNORA74B,2.413802984871981e-05
ADD2,2.2019790835862024e-05
CTIF,1.950633820286132e-05
H2BC10,1.9035820432112746e-05
LBHD1,1.8430622572861687e-05
MCL1,1.6382523148897242e-05
ELL2,1.6187144414909003e-05
EZH1,1.6179256274625092e-05
CEP43,1.567872817766061e-05
CEROX1,1.5561244222700042e-05
UBQLN4,1.4912306686011455e-05
RBM45,1.4033250381037712e-05
LMAN2,1.2883119495233778e-05
CDCA2,1.2821952801040782e-05
WWP1,1.2546259835693282e-05
NCBP2,1.240562280269391e-05
PAXBP1,1.0975909173176214e-05
LTV1,1.0860660281245308e-05
BRIX1,1.0595710925312771e-05
COMMD4,9.801591219161657e-06
CAPRIN2,9.758864152259684e-06
CCHCR1,9.754424467667624e-06
ACTN1,9.698520251626958e-06
C1GALT1C1,9.501967929684799e-06
CHCHD10,9.186855360725628e-06
FBXL16,7.870418760646672e-06
CERS5,7.793763453238957e-06
ENSG00000254635,7.388900978377775e-06
CPEB4,7.281933927013809e-06
PSMB6,7.1497120054485935e-06
LOC101928834,7.088438475308033e-06
MBD3,7.032672919301695e-06
UTP18,6.938314961284633e-06
NDUFB7,6.709099357312635e-06
PUSL1,6.657798474492262e-06
CRCP,6.628386492291022e-06
RAB29,6.388600992213589e-06
RTCB,6.320758711391751e-06
OCIAD2,6.0388917078254145e-06
BDH2,6.025740475945747e-06
ABALON,5.972309148137229e-06
DENND3,5.912223258030697e-06
ZWINT,5.730948628796196e-06
ENSG00000223745,5.603452213366056e-06
LMF2,5.426047643126415e-06
SNAPC2,5.30686824305563e-06
HSPB11,5.215523179900753e-06
ANGPT1,5.197241977135892e-06
IRS1,5.05828710550522e-06
DCUN1D4,5.056488920844726e-06
RHOF,4.678873046641075e-06
ANKH,4.3281834019191635e-06
PSMB4,4.126639665420122e-06
CDAN1,3.373119203814303e-06
IGLV2-8,3.2178715244557005e-06
SLC45A4,3.0742036676953734e-06
ANKRD44-IT1,2.984603692421555e-06
AP5Z1,2.798874029540043e-06
NRBF2,2.6825637904332367e-06
LINC-PINT,2.2830681346098087e-06
TLE5,2.280569193786677e-06
RAP1GAP2,2.2507984234730357e-06
SH3BP5L,1.863136820822222e-06
SUSD1,1.8138736605449485e-06
ENOSF1,1.7395787479747722e-06
LRIG2,1.6924859846391809e-06
KLHL18,1.633057585691518e-06
ARHGEF9,1.3340635885361076e-06
SMARCA4,1.2633970430983596e-06
DDX18,1.219059715678905e-06
PRPF18,1.1605118024152094e-06
IMP4,1.0556320733778367e-06
SPRED1,8.49857547749033e-07
COMMD9,7.983597210243138e-07
ASAP2,7.5406054308686e-07
NRN1,7.378255961632294e-07
PPM1M,7.357634125339571e-07
ALPK1,6.741264326468687e-07
ZC3HAV1,4.85131114522921e-07
MIR223HG,4.7048463340756344e-07
TRIM39,4.513588121196535e-07
WDR25,4.405309875992235e-07
ATP5F1B,4.2483439396252216e-07
TRBV3-1,3.031895014889475e-07
LYST,2.4826701187305724e-07
PPP1CB,2.2083963071412894e-07
ANO10,2.0527799730518468e-07
PLA2G15,1.9337485733656161e-07
FMN1,1.8858394683051083e-07
PPP1R3E,1.7076294892712981e-07
PPP1R14A,1.6477109962139759e-07
