Feature,Mean_ABS_SHAP
SLC36A1,2.19234470840338
MAP2K3,1.6062903663261625
RPL29,0.7639264388585864
RCN2,0.6507460693052992
ENSG00000282572,0.6477727470498252
SMN1,0.5239243142550923
RPS7,0.5236779240997969
MTMR3,0.490407590912153
ENSG00000276533,0.3656122645266037
IL1R2,0.31888376508825417
RPL31,0.2711756707077775
GPR180,0.24041443472952173
RBMX,0.1798187352713233
ACTN1,0.15179986871211495
DENND3,0.13688756905930577
IL17RA,0.12622342747686013
UTP18,0.12267776147214013
PI4KB,0.0916001501804275
ARL4C,0.08846380072200158
PRPF18,0.08055360069395127
LSM12,0.07981220613063893
RFC4,0.07859991162336451
APOBEC3H,0.06545218254784435
HSPB11,0.06525746479638705
YOD1,0.055482041820502946
MAVS,0.05387599200189859
PPM1K,0.04908757559898661
KLHL21,0.04743665566440271
ZSWIM8,0.0471483298410063
UBE2O,0.04671359799669727
DCBLD1,0.04538930287159841
RBM45,0.04309639630743022
RAB29,0.04287570076437593
CRCP,0.03794209879698039
PSMC1,0.03734032678649663
STEAP4,0.03545257367641535
IGLV2-8,0.03397350110070601
NCBP2,0.03380365730570113
MBD3,0.03150342450339587
TBP,0.028977738705321728
OSBPL10,0.0275339924964435
CTBP1,0.026583028082978147
ANGPT1,0.025955045583793104
EEF1AKMT2,0.024850169983065797
IGKV1-8,0.024763825613381085
TFAP4,0.024099442324007736
RNASE1,0.02357510800349348
AP5Z1,0.022599987183284362
DDX18,0.020579138259683303
IQCB1,0.020205445134787073
KLF8,0.019856196175758213
CD27,0.01926691194411447
LINC00641,0.019154643327193518
CCNB2,0.018679075748689305
ZFYVE1,0.018304730034254875
SPRED1,0.015461858677218592
LTV1,0.014206995170132415
RTCB,0.014052523861415247
H2BC10,0.013817956191096074
ZBTB25,0.013789216049002176
CLPB,0.013693609507226064
PAXBP1,0.012875765204863616
GOLT1B,0.012722690108764666
NDUFB7,0.012413049367596648
SHROOM1,0.011875385636870232
PTGES,0.011502318635589212
SNAPC2,0.011004900834648187
CNOT7,0.010986945521962119
IMP4,0.010359215095971664
ZWINT,0.010313317471444285
DNAJC2,0.01030300720836445
TXLNGY,0.01013437864815172
NRN1,0.010128855742115698
MTERF4,0.009327529000789175
CEROX1,0.008829226789534529
SH3BP5L,0.008715818889157212
ANO10,0.008560431629283053
POP5,0.008469167367522214
IRS1,0.007807119725790386
OCIAD2,0.007424403046408151
HDAC8,0.006998582171505355
CHCHD10,0.0062191238091334625
ENSG00000280392,0.0062170734414095236
KDM4C,0.006057849482182144
COMMD4,0.005726900164591381
HTATSF1,0.005484265837548121
TMEM170B,0.005403909203872521
EFEMP2,0.005366662757519221
ENSG00000204282,0.005109454163213031
BNIP3,0.005036171233888063
CTIF,0.004792160434022089
ZNF875,0.004757373449160305
LRRC41,0.0046188244484642975
PPM1M,0.004497349140460547
TOX4,0.004227168842520695
ENSG00000255031,0.003923436740611039
ENSG00000244313,0.003760335334426626
ATP5F1B,0.0035456633995186683
ADD2,0.003543899074443778
HLA-DRA,0.0034291236389622226
LINC00989,0.0031495370169943174
SLC45A4,0.003114395609271164
C18orf32,0.0031070415317732488
EZH1,0.0030301466444113694
BRIX1,0.0028747999049477013
CHEK1,0.002591682817609265
SNORA74B,0.0020106962406898714
MRTFB,0.0017798316908390717
DUS4L,0.0017310031869399991
RAP1GAP2,0.0017137803051791066
WWP1,0.0017110354948157687
MCL1,0.0009475855831591597
DCUN1D1,0.0008301723651006514
PUSL1,0.0006680044782780464
LBHD1,0.000601692273087498
CERS5,0.00039392928267778765
FBXL16,0.00036622605385455345
CEP43,0.0003114434977396051
CPEB4,0.0002970956468289819
C1GALT1C1,0.0002768355912192478
CAPRIN2,0.00025885172812713556
TLE5,0.0002534096173823858
ENSG00000254635,0.0002456526794905469
ELL2,0.0002426164353306697
ENSG00000223745,0.0002295847307469741
CCHCR1,0.00022483966792067909
SLC49A3,0.00020404266807151297
ABALON,0.00018567172934190568
NRBF2,0.00014317163400687352
LMAN2,0.0001363316802915158
SUSD1,0.0001264254924085778
PSMB4,0.00011417193861472925
LRIG2,0.00010487894454832696
CDCA2,0.00010187393639463676
UBQLN4,0.0001013120321152617
BDH2,9.185665607948694e-05
CDAN1,8.874249452230506e-05
RHOF,8.571287317043175e-05
ANKH,8.566494438876803e-05
PPP1R14A,8.202420869635454e-05
DCUN1D4,8.163148026941205e-05
LOC101928834,8.106500362114091e-05
PSMB6,7.487996686710968e-05
LMF2,7.087871834277325e-05
ANKRD44-IT1,6.843283381545513e-05
ALPK1,6.604905795647578e-05
PLA2G15,6.558768706136408e-05
PPP1R3E,6.284468589493331e-05
KLHL18,5.7017544028056545e-05
TRIM39,5.554902742418664e-05
ENOSF1,4.629383194294649e-05
SMARCA4,4.599902221521384e-05
MIR223HG,3.883791384402137e-05
ARHGEF9,3.2938529681356646e-05
LINC-PINT,3.160361690801482e-05
