Feature,Mean_ABS_SHAP
SLC36A1,2.19234470840338
MAP2K3,1.6062903663261625
RPL29,0.7639264388585864
RCN2,0.6507460693052992
ENSG00000282572,0.6477727470498252
SMN1,0.5239243142550923
RPS7,0.5236779240997969
MTMR3,0.490407590912153
ENSG00000276533,0.3656122645266037
IL1R2,0.31888376508825417
RPL31,0.2711756707077775
GPR180,0.24041443472952173
RBMX,0.1798187352713233
ACTN1,0.15179986871211495
DENND3,0.13688756905930577
IL17RA,0.12622342747686013
UTP18,0.12267776147214013
PI4KB,0.0916001501804275
ARL4C,0.08846380072200158
PRPF18,0.08055360069395127
