Feature,Mean_ABS_SHAP
SLC36A1,2.19234470840338
MAP2K3,1.6062903663261625
RPL29,0.7639264388585864
RCN2,0.6507460693052992
ENSG00000282572,0.6477727470498252
SMN1,0.5239243142550923
RPS7,0.5236779240997969
MTMR3,0.490407590912153
ENSG00000276533,0.3656122645266037
IL1R2,0.3188837650882541
RPL31,0.2711756707077775
GPR180,0.2404144347295217
RBMX,0.1798187352713233
ACTN1,0.1517998687121149
DENND3,0.1368875690593057
IL17RA,0.1262234274768601
UTP18,0.1226777614721401
PI4KB,0.0916001501804275
ARL4C,0.0884638007220015
PRPF18,0.0805536006939512
