Feature,Importance
IL1R2,25
MAP2K3,19
RPS7,17
RPL29,17
PRPF18,14
GPR180,12
SLC36A1,11
EEF1AKMT2,7
SMN1,4
ENSG00000282572,4
DCBLD1,4
RCN2,3
PSMC1,3
ZFYVE1,3
PPM1K,3
FBXL16,2
YOD1,2
ALPK1,2
PPP1CB,2
IMP4,2
TRBV3-1,2
DDX18,2
RFC4,2
PSMB4,2
MAVS,1
SPRED1,1
APOBEC3H,1
DENND3,1
ANKH,1
PTGES,1
SH3BP5L,1
TOX4,1
IQSEC1,1
CDAN1,1
ZC3HAV1,1
EZH1,1
DCUN1D1,1
ENSG00000255031,1
LYST,1
HSBP1,0
SLC49A3,0
HDAC8,0
BDH2,0
RWDD2B,0
PLA2G15,0
ANO10,0
PPP1R3E,0
IFNAR2,0
H2BC10,0
TBP,0
KDM4C,0
DZIP1L,0
NRN1,0
LMAN2,0
CTIF,0
MCL1,0
CAPN1,0
PSMB6,0
ENOSF1,0
LMF2,0
ZWINT,0
CEP43,0
TRIM39,0
SNORA74B,0
CRCP,0
KLHL21,0
TPX2,0
EMC4,0
CAPRIN2,0
RARA,0
ENSG00000204282,0
CLPB,0
WDSUB1,0
RAP1GAP2,0
LSM12,0
ENSG00000225138,0
UTP18,0
ENSG00000223745,0
IQCB1,0
DUS4L,0
MTMR3,0
RPL31,0
CD27,0
MTERF4,0
SLC45A4,0
RBM45,0
TRBV12-3,0
COMMD9,0
LTV1,0
PPM1M,0
ZNF775,0
DCUN1D4,0
SAP30,0
CHCHD10,0
RTCB,0
MRTFB,0
MOB3C,0
C1GALT1C1,0
ZSWIM8,0
POP5,0
LRIG2,0
RNASE1,0
ATP5F1B,0
HTATSF1,0
ENSG00000244313,0
NT5C3B,0
KLF8,0
ZDHHC21,0
MBD3,0
LRRC41,0
RPL11P3,0
LINC00989,0
CHEK1,0
NDUFB7,0
TARS3,0
TTC3,0
AP5Z1,0
FPGT,0
NCBP2,0
SUSD1,0
CCNB2,0
LOC101928834,0
CPEB4,0
SNAPC2,0
SMARCA4,0
HSPB11,0
SHROOM1,0
BNIP3,0
UBE2O,0
WDR25,0
CEROX1,0
RDH11,0
HSPA9,0
ANKRD44-IT1,0
RHOF,0
ENSG00000276533,0
C18orf32,0
RBMX,0
PCNA,0
ACTN1,0
ARL4C,0
CCHCR1,0
CDCA2,0
ZBTB25,0
ENSG00000254635,0
GBP1,0
TTF2,0
LINC00641,0
CLPX,0
ZNF875,0
NFIL3,0
TXLNGY,0
IRS1,0
POLDIP3,0
PUSL1,0
STEAP4,0
KLHL18,0
PI4KB,0
TFAP4,0
EFEMP2,0
PPP1R14A,0
NRBF2,0
ARHGEF9,0
MIR223HG,0
ANGPT1,0
HLA-DRA,0
COMMD4,0
GOLT1B,0
NAV1,0
RPL7AP50,0
OSBPL10,0
LILRB2,0
CEP41,0
TLE5,0
PAXBP1,0
SLC7A7,0
FMN1,0
ELL2,0
DNAJC2,0
ASAP2,0
WWP1,0
UBQLN4,0
CERS5,0
OCIAD2,0
IGLV2-8,0
CTBP1,0
IGKV1-8,0
ENSG00000280392,0
BRIX1,0
HARBI1,0
TMEM170B,0
ENSG00000239665,0
LINC-PINT,0
LBHD1,0
CNOT7,0
IL17RA,0
ADD2,0
ZFAND5,0
RAB29,0
ABALON,0
