Feature,Mean_ABS_SHAP
MAP2K3,0.9083550303820093
RPL29,0.7650392536744872
RPS7,0.7278673529708031
IL1R2,0.7126729854932388
SLC36A1,0.6708734068969917
PRPF18,0.6094791301606161
RCN2,0.34240802211509674
EEF1AKMT2,0.2561746788912828
GPR180,0.24514916493397648
ENSG00000282572,0.22618370722397088
SMN1,0.19832429360811274
DCBLD1,0.1308612857005753
PPM1K,0.11238423768163308
RFC4,0.08309342001250132
PSMB4,0.08167950888767339
ZFYVE1,0.06853598297073703
IMP4,0.06633199990600722
TRBV3-1,0.05988171870138795
DDX18,0.05285767928055537
PPP1CB,0.05244295116193612
ALPK1,0.048241147056563675
ZC3HAV1,0.04663948087843281
ANKH,0.042402639922631706
YOD1,0.04239390140099931
TOX4,0.042017486677159405
PSMC1,0.04112281444183215
DCUN1D1,0.03922762552661186
SPRED1,0.03511731749577559
LYST,0.03340140340541311
FBXL16,0.032556520077134644
EZH1,0.03014591952504131
MAVS,0.027570673203590308
PTGES,0.021509905241760663
ENSG00000255031,0.020994666139445832
CDAN1,0.016417488252294023
DENND3,0.013577719280328924
APOBEC3H,0.013526536359221315
IQSEC1,0.008374065208532209
SH3BP5L,0.0059848629667034105
BDH2,0.0
ANO10,0.0
HDAC8,0.0
PLA2G15,0.0
HSBP1,0.0
SLC49A3,0.0
RWDD2B,0.0
IFNAR2,0.0
PPP1R3E,0.0
H2BC10,0.0
NRN1,0.0
KDM4C,0.0
CRCP,0.0
LMAN2,0.0
CTIF,0.0
MCL1,0.0
CAPN1,0.0
PSMB6,0.0
ENOSF1,0.0
LMF2,0.0
ZWINT,0.0
TRIM39,0.0
SNORA74B,0.0
CEP43,0.0
TBP,0.0
DZIP1L,0.0
KLHL21,0.0
TPX2,0.0
EMC4,0.0
CAPRIN2,0.0
RARA,0.0
ENSG00000204282,0.0
CLPB,0.0
WDSUB1,0.0
RAP1GAP2,0.0
LSM12,0.0
ENSG00000225138,0.0
UTP18,0.0
ENSG00000223745,0.0
IQCB1,0.0
DUS4L,0.0
MTMR3,0.0
RPL31,0.0
CD27,0.0
MTERF4,0.0
SLC45A4,0.0
RBM45,0.0
TRBV12-3,0.0
COMMD9,0.0
LTV1,0.0
PPM1M,0.0
ZNF775,0.0
DCUN1D4,0.0
SAP30,0.0
CHCHD10,0.0
RTCB,0.0
MRTFB,0.0
MOB3C,0.0
C1GALT1C1,0.0
ZSWIM8,0.0
POP5,0.0
LRIG2,0.0
RNASE1,0.0
ATP5F1B,0.0
HTATSF1,0.0
ENSG00000244313,0.0
NT5C3B,0.0
KLF8,0.0
ZDHHC21,0.0
MBD3,0.0
LRRC41,0.0
RPL11P3,0.0
LINC00989,0.0
CHEK1,0.0
NDUFB7,0.0
TARS3,0.0
TTC3,0.0
AP5Z1,0.0
FPGT,0.0
NCBP2,0.0
SUSD1,0.0
CCNB2,0.0
LOC101928834,0.0
CPEB4,0.0
SNAPC2,0.0
SMARCA4,0.0
HSPB11,0.0
SHROOM1,0.0
BNIP3,0.0
UBE2O,0.0
WDR25,0.0
CEROX1,0.0
RDH11,0.0
HSPA9,0.0
ANKRD44-IT1,0.0
RHOF,0.0
ENSG00000276533,0.0
C18orf32,0.0
RBMX,0.0
PCNA,0.0
ACTN1,0.0
ARL4C,0.0
CCHCR1,0.0
CDCA2,0.0
ZBTB25,0.0
ENSG00000254635,0.0
GBP1,0.0
TTF2,0.0
LINC00641,0.0
CLPX,0.0
ZNF875,0.0
NFIL3,0.0
TXLNGY,0.0
IRS1,0.0
POLDIP3,0.0
PUSL1,0.0
STEAP4,0.0
KLHL18,0.0
PI4KB,0.0
TFAP4,0.0
EFEMP2,0.0
PPP1R14A,0.0
NRBF2,0.0
ARHGEF9,0.0
MIR223HG,0.0
ANGPT1,0.0
HLA-DRA,0.0
COMMD4,0.0
GOLT1B,0.0
NAV1,0.0
RPL7AP50,0.0
OSBPL10,0.0
LILRB2,0.0
CEP41,0.0
TLE5,0.0
PAXBP1,0.0
SLC7A7,0.0
FMN1,0.0
ELL2,0.0
DNAJC2,0.0
ASAP2,0.0
WWP1,0.0
UBQLN4,0.0
CERS5,0.0
OCIAD2,0.0
IGLV2-8,0.0
CTBP1,0.0
IGKV1-8,0.0
ENSG00000280392,0.0
BRIX1,0.0
HARBI1,0.0
TMEM170B,0.0
ENSG00000239665,0.0
LINC-PINT,0.0
LBHD1,0.0
CNOT7,0.0
IL17RA,0.0
ADD2,0.0
ZFAND5,0.0
RAB29,0.0
ABALON,0.0
