Feature,Importance
STEAP4,2.084578301270706
ARL4C,1.7519873218210864
CHCHD10,1.7134562075008675
RPS7,1.3817084272508628
SUSD1,1.1877018420612162
LSM12,1.1761281520542335
TXLNGY,1.155312984049694
IL1R2,1.1220688192441952
KLHL21,1.1149922933034702
SMN1,1.0907488681902022
EEF1AKMT2,1.0752412335482033
RCN2,0.9728578413207711
CERS5,0.9557423572457436
WDR25,0.8996196263026349
SPRED1,0.8101295528541956
ACTN1,0.7885380696502233
DCBLD1,0.7556788249531204
KLF8,0.7414115197365145
MIR223HG,0.7189116947023125
UBE2O,0.6709664253184465
MAVS,0.6649358545800929
GBP1,0.6527746535367016
PI4KB,0.646917172055162
OCIAD2,0.6270247974419839
CTBP1,0.6142451917640896
PTGES,0.6112077166352855
SLC7A7,0.5963081152303297
PPM1K,0.5562204412068112
ASAP2,0.5249578650493456
RBMX,0.514662795328656
MOB3C,0.5125256080967409
ANKRD44-IT1,0.4746568715024025
CLPX,0.47102046371937184
LTV1,0.4674913413306937
TPX2,0.46040832314781577
H2BC10,0.4560272351548611
OSBPL10,0.44660800936834705
ENSG00000254635,0.42901164729473995
GPR180,0.4266091609685752
ENSG00000239665,0.42597635201977974
ABALON,0.40410967757204996
SAP30,0.40230618931212125
FMN1,0.40045206962379387
MBD3,0.38503190444359675
CDCA2,0.3818316865668277
TRIM39,0.3334343860558004
CPEB4,0.33082508401044974
LRIG2,0.32426872608088386
ZFYVE1,0.3229932695944758
ANGPT1,0.3143304318328778
SH3BP5L,0.2988423421683969
ATP5F1B,0.2824190576162126
RPL29,0.27832254005445617
IRS1,0.2728885551955786
SMARCA4,0.27144417978468505
NT5C3B,0.26484868144715923
DCUN1D1,0.25841278517367994
RHOF,0.24786026902179342
SLC45A4,0.245512922145888
ALPK1,0.23859696439781233
WWP1,0.22972990403293958
PUSL1,0.2278077491261742
DDX18,0.22707155639632348
IFNAR2,0.21988664162213023
TRBV3-1,0.21806182692745008
TTC3,0.21217796728421304
ENSG00000276533,0.2106183798793958
BRIX1,0.1995520276087359
SLC36A1,0.1989579900953818
ZFAND5,0.1957365022034286
RPL7AP50,0.1950750129922708
MRTFB,0.19478938944252502
HSPB11,0.19238997231667807
FPGT,0.18655883444839938
ENSG00000255031,0.1799161555732369
HARBI1,0.17971787767784492
NRN1,0.17730135642282505
RPL31,0.17579034186052414
TBP,0.1736079917732472
MTMR3,0.17128718872650792
RAP1GAP2,0.1698080109542039
KLHL18,0.16797138551575036
FBXL16,0.15071949724668218
NDUFB7,0.1450913057033187
SNAPC2,0.14355246567059277
DCUN1D4,0.1424507991222143
PSMB6,0.13419717887644472
YOD1,0.12256239347649114
IGLV2-8,0.11960488046614748
HSPA9,0.1177001583315004
ANKH,0.11107289806822464
CEP41,0.11071249023545218
ZNF875,0.11003555353461707
ENSG00000282572,0.10847019717822026
WDSUB1,0.09900969066846016
CDAN1,0.09707824898553363
COMMD4,0.09283658045243066
ENSG00000225138,0.08986897580133818
ZSWIM8,0.08453718100133792
CAPN1,0.07088698528349299
C18orf32,0.0654078067664856
DUS4L,0.06470304009218963
BDH2,0.0614032335980719
RFC4,0.05861085466827004
BNIP3,0.057742976280502144
EFEMP2,0.0572030301203781
IQCB1,0.041236099084769474
PAXBP1,0.03884581623402181
COMMD9,0.0378209300161224
LOC101928834,0.029399754610850717
ZC3HAV1,0.02014551270805614
ENSG00000204282,0.019096894485371926
CNOT7,0.016789256289612628
PPP1R14A,0.01471758945774193
ANO10,0.014359571940839035
MTERF4,0.009425068563781414
CAPRIN2,0.007674670656052441
POP5,0.007223362190817608
PSMB4,0.005795360438573038
ENSG00000223745,0.005297640504884983
SHROOM1,0.0021897137549938593
PRPF18,0.0
ZBTB25,0.0
EZH1,0.0
LINC00641,0.0
RTCB,0.0
C1GALT1C1,0.0
TTF2,0.0
NCBP2,0.0
RNASE1,0.0
PCNA,0.0
TRBV12-3,0.0
RBM45,0.0
MAP2K3,0.0
CD27,0.0
UTP18,0.0
RARA,0.0
PPM1M,0.0
TOX4,0.0
ZNF775,0.0
ZDHHC21,0.0
CCHCR1,0.0
ENSG00000244313,0.0
HTATSF1,0.0
DENND3,0.0
CLPB,0.0
SNORA74B,0.0
EMC4,0.0
NAV1,0.0
HLA-DRA,0.0
ARHGEF9,0.0
NRBF2,0.0
TFAP4,0.0
ELL2,0.0
DNAJC2,0.0
PSMC1,0.0
IQSEC1,0.0
TMEM170B,0.0
RAB29,0.0
LINC00989,0.0
ADD2,0.0
IL17RA,0.0
LBHD1,0.0
LINC-PINT,0.0
ENSG00000280392,0.0
IGKV1-8,0.0
RDH11,0.0
CHEK1,0.0
UBQLN4,0.0
TARS3,0.0
CEROX1,0.0
AP5Z1,0.0
GOLT1B,0.0
POLDIP3,0.0
LMF2,0.0
LILRB2,0.0
PPP1R3E,0.0
RWDD2B,0.0
SLC49A3,0.0
HSBP1,0.0
LYST,0.0
HDAC8,0.0
PLA2G15,0.0
KDM4C,0.0
NFIL3,0.0
CTIF,0.0
MCL1,0.0
ZWINT,0.0
PPP1CB,0.0
CCNB2,0.0
DZIP1L,0.0
CRCP,0.0
CEP43,0.0
ENOSF1,0.0
LMAN2,0.0
APOBEC3H,0.0
RPL11P3,0.0
IMP4,0.0
TLE5,0.0
LRRC41,0.0
