Feature,Mean_ABS_SHAP
LSM12,1.5568159328252733
STEAP4,1.5213321744965351
KLHL21,1.4007516360907153
ARL4C,1.1950558318501292
SUSD1,1.1921658018015675
UBE2O,1.1098791471147778
CHCHD10,1.0701888725584807
CERS5,0.9367215055915329
SMN1,0.8955691026628265
IL1R2,0.7562730066055169
RPS7,0.7233423436890785
DCBLD1,0.6927859190533023
WDR25,0.6743487816009603
PTGES,0.6521756105394474
ACTN1,0.6357454688714252
RCN2,0.6144453691602451
ABALON,0.6143197953356399
KLF8,0.6080263924777871
EEF1AKMT2,0.600906639001998
GBP1,0.5933094602262498
PI4KB,0.5846235029740756
TRIM39,0.5699255859230872
TXLNGY,0.505831809605687
SPRED1,0.5033413125631774
CTBP1,0.4928509019736436
MIR223HG,0.4626449963865171
ASAP2,0.4612079068383727
MBD3,0.44813361666172824
CLPX,0.43569497439935784
SAP30,0.4313589687751453
RBMX,0.42280388710034733
OCIAD2,0.41204759602573904
MOB3C,0.41108327610913953
SLC7A7,0.4090722019705796
LTV1,0.40003549914146386
MAVS,0.39927912197808624
OSBPL10,0.3915864254210002
PPM1K,0.37038337798961785
GPR180,0.3251685492493074
SH3BP5L,0.3176681117595918
DCUN1D1,0.31430648692177104
ANGPT1,0.30222844026023343
TPX2,0.2938314667188824
ZFYVE1,0.29323450170488924
CPEB4,0.2738028580840439
ALPK1,0.26288973165948815
ANKRD44-IT1,0.25499218776607324
FMN1,0.23755686761657127
SLC45A4,0.23736010884480632
ENSG00000254635,0.2357403282603466
ATP5F1B,0.22231095305832066
CDCA2,0.21701204172596028
IRS1,0.21212468536705753
DDX18,0.2072307424439958
ENSG00000276533,0.20358878904428135
ZFAND5,0.19061898438938527
H2BC10,0.18623122435873027
KLHL18,0.18616542744838033
NRN1,0.18508706062016766
SMARCA4,0.18459684831986053
NT5C3B,0.18384059553243035
HARBI1,0.17331176044948263
PUSL1,0.16397672249657433
LRIG2,0.1612403060351135
TRBV3-1,0.16121048210858582
TTC3,0.16075290973091313
RPL29,0.1601739933243531
ENSG00000239665,0.1584542065824155
BRIX1,0.14272091123893482
SLC36A1,0.13920392117929653
WWP1,0.13882247980129397
YOD1,0.13210486744238414
TBP,0.1318607955774038
HSPB11,0.12738001109214941
FPGT,0.12495268168250775
FBXL16,0.12302439507632568
SNAPC2,0.11564276283505426
ENSG00000255031,0.10778244014543213
IFNAR2,0.10391643960515559
RHOF,0.10203077938738078
ANKH,0.10188370622324523
RAP1GAP2,0.09941023397162155
MRTFB,0.09870893109593494
RPL7AP50,0.09782414982313108
CEP41,0.09519776554818041
HSPA9,0.09448791878958218
NDUFB7,0.08236055846748809
IGLV2-8,0.08222620740433541
RPL31,0.08116112172450364
PSMB6,0.07891702199373797
ZNF875,0.07713845158010116
MTMR3,0.07691325777810391
ENSG00000282572,0.07355713964481375
WDSUB1,0.0713613887619199
DCUN1D4,0.0685344521543225
C18orf32,0.05960999554999121
BDH2,0.05612529188336691
COMMD4,0.05594530428658008
CAPN1,0.055166032579189665
ENSG00000225138,0.052595162444947934
CDAN1,0.05121152291231178
ZSWIM8,0.04896895421984861
EFEMP2,0.04311144694919918
DUS4L,0.042552228349266925
BNIP3,0.041093254029490316
RFC4,0.0385056044418091
IQCB1,0.03816432431776686
PAXBP1,0.03020217696794792
COMMD9,0.022527362283653138
LOC101928834,0.020819726339195283
PPP1R14A,0.013032799305964278
ANO10,0.012961948350868401
ZC3HAV1,0.012614785864428234
ENSG00000204282,0.010626964238376845
CNOT7,0.009825426506541855
MTERF4,0.006381054243386549
POP5,0.005125302002984344
CAPRIN2,0.004200919534615977
ENSG00000223745,0.003720731884647054
PSMB4,0.0032769004080855342
SHROOM1,0.0013194490791938037
EMC4,0.0
EZH1,0.0
PRPF18,0.0
RTCB,0.0
CLPB,0.0
C1GALT1C1,0.0
RNASE1,0.0
TOX4,0.0
HTATSF1,0.0
ENSG00000244313,0.0
ZDHHC21,0.0
ZNF775,0.0
PPM1M,0.0
RARA,0.0
PPP1R3E,0.0
UTP18,0.0
CD27,0.0
MAP2K3,0.0
RBM45,0.0
TRBV12-3,0.0
LMF2,0.0
LINC00641,0.0
RWDD2B,0.0
ELL2,0.0
PSMC1,0.0
IQSEC1,0.0
TMEM170B,0.0
RAB29,0.0
ADD2,0.0
IL17RA,0.0
LBHD1,0.0
LINC-PINT,0.0
ENSG00000280392,0.0
IGKV1-8,0.0
ZBTB25,0.0
UBQLN4,0.0
CEROX1,0.0
CCNB2,0.0
TTF2,0.0
NCBP2,0.0
AP5Z1,0.0
TARS3,0.0
CHEK1,0.0
RDH11,0.0
LINC00989,0.0
POLDIP3,0.0
IMP4,0.0
NFIL3,0.0
LYST,0.0
DNAJC2,0.0
TFAP4,0.0
SLC49A3,0.0
NRBF2,0.0
HSBP1,0.0
HDAC8,0.0
PLA2G15,0.0
KDM4C,0.0
PCNA,0.0
CTIF,0.0
MCL1,0.0
CCHCR1,0.0
DENND3,0.0
ZWINT,0.0
PPP1CB,0.0
SNORA74B,0.0
DZIP1L,0.0
CRCP,0.0
CEP43,0.0
ENOSF1,0.0
LMAN2,0.0
APOBEC3H,0.0
RPL11P3,0.0
TLE5,0.0
LILRB2,0.0
NAV1,0.0
GOLT1B,0.0
HLA-DRA,0.0
ARHGEF9,0.0
LRRC41,0.0
