Feature,Mean_ABS_SHAP
LSM12,1.5568159328252733
STEAP4,1.5213321744965351
KLHL21,1.4007516360907153
ARL4C,1.1950558318501292
SUSD1,1.1921658018015675
UBE2O,1.1098791471147778
CHCHD10,1.0701888725584807
CERS5,0.9367215055915329
SMN1,0.8955691026628265
IL1R2,0.7562730066055169
RPS7,0.7233423436890785
DCBLD1,0.6927859190533023
WDR25,0.6743487816009603
PTGES,0.6521756105394474
ACTN1,0.6357454688714252
RCN2,0.6144453691602451
ABALON,0.6143197953356399
KLF8,0.6080263924777871
EEF1AKMT2,0.600906639001998
GBP1,0.5933094602262498
