Feature,Importance
SLC36A1,0.2900881691061338
ENSG00000282572,0.10328285961152564
MAP2K3,0.09215303572074063
RPL29,0.07580108116259587
RBMX,0.06393751464891748
ACTN1,0.056907713324246545
MTMR3,0.03382039198298597
RCN2,0.03062466201214832
RPL31,0.029989486438564448
EEF1AKMT2,0.018973059211989676
RPS7,0.01710622475857069
ZFYVE1,0.017099547173937833
DENND3,0.01531219535082203
MAVS,0.014851775242072646
IL17RA,0.01482476743583799
CHCHD10,0.01440069601640882
SMN1,0.009594081795291582
TLE5,0.0077889170981517986
UTP18,0.0077760419105402144
POP5,0.007421481896833376
IL1R2,0.006749963818278932
RBM45,0.003948113824302077
UBE2O,0.003411017115470451
STEAP4,0.0023693308471116354
FBXL16,0.002332612229602003
OCIAD2,0.0021375469216692498
ENSG00000276533,0.0021324856371609047
HSPB11,0.0019382469887123208
H2BC10,0.0018179378698089162
PRPF18,0.001609850241671958
CLPB,0.0014874808766069723
TBP,0.0014575667877755074
PPM1K,0.0013096633302416897
CTBP1,0.0012995328479686935
GPR180,0.0012060279259046441
TOX4,0.0011642829770007533
LSM12,0.0011430038451509471
IQCB1,0.001057090469251104
CEP43,0.0009733168062451636
PPP1R3E,0.0009359338352458222
ELL2,0.0009209297044179442
KLHL21,0.0009102751295440874
PI4KB,0.0008761005995535853
NRN1,0.0008267515656036899
ZSWIM8,0.0007939843610619533
DCUN1D1,0.0007864993475141342
SPRED1,0.000755802770885311
FMN1,0.0007310526026614963
ARL4C,0.0007199713529401806
CRCP,0.000719442876712294
LTV1,0.0007115569835770985
YOD1,0.0007022946505403226
PSMB4,0.0006842738942067751
TTC3,0.0006842340085752962
IQSEC1,0.000652667139789538
TXLNGY,0.0006045983980333558
SUSD1,0.0006034978896805211
LMF2,0.000570348622372808
HSPA9,0.000561952696995492
CHEK1,0.0005363896357104922
ENSG00000239665,0.0005267489711934158
EZH1,0.0005137242168642127
TARS3,0.0005051690125710569
PSMB6,0.0005034065381677146
ZC3HAV1,0.0004888548941712831
DUS4L,0.00047095768237339866
APOBEC3H,0.00046791198621396867
CDAN1,0.00046726611467870635
LINC-PINT,0.0004456345788728906
HDAC8,0.0004412101450256482
RPL11P3,0.00043915197665799117
PSMC1,0.0004306163078156934
KLHL18,0.00042765288407835413
LINC00989,0.00042528536471979036
ENSG00000225138,0.00042427716639083474
EMC4,0.0004191794554074079
IGKV1-8,0.0004115424005113409
LOC101928834,0.0004049627612283701
ANKH,0.0004025452357759999
DCBLD1,0.0004000368448317009
ENSG00000223745,0.00039826815240353826
PTGES,0.0003922780691877616
RARA,0.00036093050211954503
OSBPL10,0.00036001234192130377
IGLV2-8,0.00035726414768583626
PAXBP1,0.0003349715496597314
DCUN1D4,0.00032272012365456806
EFEMP2,0.0003131404186188319
CD27,0.0003111211362542299
CDCA2,0.0003097170555819373
HARBI1,0.00030799515853468666
CERS5,0.00030448244647195106
DDX18,0.0002964276336936247
ENSG00000204282,0.0002641391433845111
SMARCA4,0.0002634209392943706
ENSG00000255031,0.0002527099120495903
PCNA,0.0002500515771142646
SLC49A3,0.00024113456098807105
GBP1,0.00023580876213483235
CCNB2,0.00023322461338656677
KLF8,0.0002324060542778316
IRS1,0.00022990615365259327
BRIX1,0.00022556418523449938
CTIF,0.00021146571325653232
SAP30,0.00020706427363392929
PUSL1,0.00020009507412836633
RNASE1,0.00019841814122088913
TRIM39,0.000197404444015907
MIR223HG,0.00019299601576580055
LMAN2,0.00019099765896975058
FPGT,0.00018733277986203103
SHROOM1,0.00018623479544384712
ZWINT,0.00017466584193208962
TPX2,0.00017440947023992725
WWP1,0.0001713992419646579
SLC7A7,0.0001668495495285296
RTCB,0.00015763372247802683
MBD3,0.00015742324902720677
ZFAND5,0.00014113887617053886
LRRC41,0.00014106898853366145
BNIP3,0.00013890553912892234
HLA-DRA,0.00013877200446231388
WDR25,0.00013425643831825774
ANO10,0.0001335783178298204
RHOF,0.00013333333333333486
ADD2,0.00013333333333333377
ATP5F1B,0.00013172294518015793
IFNAR2,0.00012988838963322633
CAPN1,0.00012739716303744134
PPP1R14A,0.00012440303987051144
RWDD2B,0.00012409777351187677
CCHCR1,0.00012359321022676682
HTATSF1,0.00012299894082149341
LILRB2,0.00010734766966903931
WDSUB1,0.00010668611878762771
MCL1,9.47421430057594e-05
NDUFB7,9.39770595722511e-05
UBQLN4,9.185362539176602e-05
C1GALT1C1,9.03818334951188e-05
AP5Z1,8.819907777012975e-05
ANGPT1,8.666828490732354e-05
RAB29,8.063140466955891e-05
C18orf32,7.868458348116895e-05
DZIP1L,7.83886597264735e-05
ABALON,7.763619031550821e-05
ZNF775,7.716198217157152e-05
CEROX1,7.67490763175111e-05
RPL7AP50,7.62284856921755e-05
MOB3C,7.450857135676459e-05
POLDIP3,7.064760302775908e-05
CEP41,7.020324635452487e-05
RDH11,6.903002008490881e-05
ZBTB25,6.680822306937092e-05
NAV1,6.624906611214019e-05
CAPRIN2,6.440543366203998e-05
SNAPC2,6.366143430089143e-05
IMP4,6.226406166917275e-05
ANKRD44-IT1,6.119852274563923e-05
