Feature,Mean_ABS_SHAP
SLC36A1,0.13564281310889487
ENSG00000282572,0.04647539408534846
MAP2K3,0.04500528766400316
RPL29,0.036969429923984734
RBMX,0.029608814750863504
ACTN1,0.02674600654417692
MTMR3,0.015231994150147875
RCN2,0.01428340178491921
RPL31,0.01159548600284105
ZFYVE1,0.008580583035934555
EEF1AKMT2,0.008331103371278802
RPS7,0.007895743060869789
DENND3,0.0077091370922514986
MAVS,0.00741527886434301
IL17RA,0.007076958045445412
CHCHD10,0.006986659002213217
SMN1,0.006359669494363807
UTP18,0.0043646229010241575
TLE5,0.00392363110651454
POP5,0.003913186187064071
IL1R2,0.0037974170248616526
STEAP4,0.0029934066169889505
PRPF18,0.0021379361100912005
UBE2O,0.001849946353021119
RBM45,0.0016847036963626065
LSM12,0.0015372341437801173
TOX4,0.0014627491070260236
ARL4C,0.001448816909292338
ENSG00000276533,0.0012749229174780054
IQCB1,0.001217320434051911
ELL2,0.001081210561612154
TBP,0.0010806180380970834
DCUN1D1,0.0010501498674974164
FBXL16,0.001021423159243845
HSPB11,0.0010100238665108061
SUSD1,0.00100237291032995
LTV1,0.0009531183818926013
YOD1,0.0009529898433374617
KLHL18,0.0009040493953624713
PSMB4,0.0009002871017515141
OCIAD2,0.0008820630873826185
PPM1K,0.0008521517233981588
CLPB,0.0008417618628074402
ENSG00000225138,0.0008370606455416455
SPRED1,0.0008324980109058292
IGKV1-8,0.0007990711177347488
GPR180,0.0007951439923321987
PI4KB,0.0007846021549527194
CTBP1,0.0007829608139309822
KLHL21,0.000769619209545208
RPL11P3,0.0007472068409090082
PTGES,0.0007247500358972248
CEP43,0.0007046722529351501
LINC00989,0.0007003194532192122
DCBLD1,0.0006729877805527044
EZH1,0.0006158036373630582
ZSWIM8,0.0005848789990649123
IQSEC1,0.0005697418585921472
FMN1,0.0005590708359209409
TARS3,0.0005444589164294155
CRCP,0.0005369777168847326
LMF2,0.0005277082864460045
H2BC10,0.0005079519806582656
APOBEC3H,0.0004990296136182756
HSPA9,0.0004814225930596014
PSMC1,0.0004641444926417127
PPP1R3E,0.0004390314185527764
ANKH,0.00043707140437691035
RARA,0.00043618142772950053
EMC4,0.0004249017052643162
HARBI1,0.00041830793932625564
IGLV2-8,0.0004112602539771646
CDCA2,0.00041051759809567135
EFEMP2,0.0004084848667248208
NRN1,0.0004052061951128647
OSBPL10,0.0003916562334027595
CDAN1,0.00039052971530575725
MIR223HG,0.00037808601455142807
CHEK1,0.0003694096232418667
TPX2,0.00034043914298758
DCUN1D4,0.0003304340925685868
HDAC8,0.0003220721163704262
TXLNGY,0.00032020297900058357
TTC3,0.00031569230138870817
CCNB2,0.0003031283055223652
SMARCA4,0.0002999853568900891
WDR25,0.00028876004059540073
SLC49A3,0.0002831242887906905
ANO10,0.00027893866523329516
CERS5,0.00027892739342291284
RAB29,0.0002694956782563039
MOB3C,0.0002662536983548623
LOC101928834,0.00026617887388308265
CD27,0.00026316224504642537
PPP1R14A,0.00026277757790165606
ENSG00000223745,0.00025570718149503394
PUSL1,0.0002526735681975277
BRIX1,0.00025257657375173646
BNIP3,0.00024946703441159707
RTCB,0.000249452627668121
MBD3,0.0002473983561892987
LRRC41,0.0002460981901112991
DDX18,0.00024295474666713037
DUS4L,0.00023990091353816477
FPGT,0.00023618449498131672
LINC-PINT,0.0002332985250736597
ENSG00000255031,0.00023140766393093295
HLA-DRA,0.00023036079852443279
ABALON,0.0002260762026169187
HTATSF1,0.00022364790288863131
ZC3HAV1,0.00021884770482843077
ENSG00000239665,0.00021323371165489212
PAXBP1,0.00020825469766145644
PCNA,0.0002062749495900029
WDSUB1,0.00020419111098013608
TRIM39,0.00020387995867164938
IFNAR2,0.00020372233785988464
MCL1,0.0001970155990901249
C1GALT1C1,0.0001891625909747251
SHROOM1,0.00018593570931297422
SH3BP5L,0.00018586454065504593
PSMB6,0.00018274366056682042
ZFAND5,0.00018065273106005373
AP5Z1,0.00017385576066686017
ALPK1,0.0001708344218633932
LMAN2,0.00016939230401927875
SLC7A7,0.00016448203975393067
CTIF,0.00016363552539262242
ENSG00000280392,0.00016281190029696343
ANGPT1,0.00015748361286803387
SLC45A4,0.0001508609439604936
CCHCR1,0.0001497948619905776
KDM4C,0.00014390179444525051
CEP41,0.00014037636207145807
ADD2,0.0001398683733848568
KLF8,0.00013521070375505835
LYST,0.00013453836476641634
GBP1,0.00013354708646444845
RPL7AP50,0.00012985654302850706
IRS1,0.00012969252980796024
LILRB2,0.00012845112343583826
ZWINT,0.00012698357581860542
ENSG00000204282,0.00012570010907295137
RNASE1,0.00012557869605244582
SAP30,0.00012335862261189198
CAPN1,0.00012261230311491451
CPEB4,0.00011374619247233297
POLDIP3,0.00011286675760439597
ATP5F1B,0.00011021328068894486
RWDD2B,0.0001091809407480716
UBQLN4,0.00010843173231769205
WWP1,0.00010697779149209484
CAPRIN2,0.00010679511836012973
CEROX1,0.00010343580915490218
NFIL3,0.00010295330848696387
ANKRD44-IT1,0.00010033247046178787
DZIP1L,9.638267470997212e-05
NDUFB7,9.331373471415054e-05
RAP1GAP2,9.224246006431643e-05
NAV1,7.791509696220247e-05
MRTFB,7.725204360033417e-05
ZNF775,7.4912801545147e-05
C18orf32,6.828145704095354e-05
NT5C3B,6.817991435298262e-05
PPP1CB,6.683242908178125e-05
