Feature,Mean_ABS_SHAP
SLC36A1,0.13564281310889487
ENSG00000282572,0.04647539408534846
MAP2K3,0.04500528766400316
RPL29,0.036969429923984734
RBMX,0.029608814750863504
ACTN1,0.02674600654417692
MTMR3,0.015231994150147875
RCN2,0.01428340178491921
RPL31,0.01159548600284105
ZFYVE1,0.008580583035934555
EEF1AKMT2,0.008331103371278802
RPS7,0.007895743060869789
DENND3,0.0077091370922514986
MAVS,0.00741527886434301
IL17RA,0.007076958045445412
CHCHD10,0.006986659002213217
SMN1,0.006359669494363807
UTP18,0.0043646229010241575
TLE5,0.00392363110651454
POP5,0.003913186187064071
