Feature,Mean_ABS_SHAP
SLC36A1,0.1356428131088948
ENSG00000282572,0.0464753940853484
MAP2K3,0.0450052876640031
RPL29,0.0369694299239847
RBMX,0.0296088147508635
ACTN1,0.0267460065441769
MTMR3,0.0152319941501478
RCN2,0.0142834017849192
RPL31,0.011595486002841
ZFYVE1,0.0085805830359345
EEF1AKMT2,0.0083311033712788
RPS7,0.0078957430608697
DENND3,0.0077091370922514
MAVS,0.007415278864343
IL17RA,0.0070769580454454
CHCHD10,0.0069866590022132
SMN1,0.0063596694943638
UTP18,0.0043646229010241
TLE5,0.0039236311065145
POP5,0.003913186187064
