Feature,Mean_ABS_SHAP
UBE2O,0.03028235136046806
DCUN1D1,0.022314358614158907
KLHL21,0.02120168399343292
YOD1,0.020244917098098166
LSM12,0.01962310630912245
CD27,0.017301869157619075
STEAP4,0.016013652107470005
PTGES,0.015932209187121103
CHCHD10,0.014619348543839152
LTV1,0.014549392858430413
ZFYVE1,0.013994753464557754
KLHL18,0.01353374695695388
ARL4C,0.01328416719552142
CTBP1,0.012953922932184649
SMN1,0.011837584316601407
IL1R2,0.011056103876993306
DCBLD1,0.010156604064855131
SAP30,0.009080279562409132
NRN1,0.009055864908107978
GPR180,0.008335707436241725
ANGPT1,0.008189599325462397
TBP,0.008181619284033466
MAP2K3,0.007999011230842783
IL17RA,0.006306248360714383
HSPA9,0.00588985718266088
ATP5F1B,0.005848677821244128
SNAPC2,0.005167816215134518
NRBF2,0.004731148869999097
ZC3HAV1,0.00470073618553141
RCN2,0.0044283735050379405
MBD3,0.004410773794730543
IQCB1,0.004181934987946856
WDR25,0.004082595551395566
GBP1,0.003797045238820716
SLC45A4,0.0035145939623278397
SUSD1,0.0034577922966185313
TPX2,0.003395682455814648
RAP1GAP2,0.0033604482466349467
LOC101928834,0.0029862734852707956
CPEB4,0.0029515967605042446
H2BC10,0.002870115617145084
IRS1,0.002437803042621104
MIR223HG,0.002371419187760149
SLC7A7,0.0020486330680639727
CDCA2,0.0020170257813354707
TLE5,0.0018328423456661187
UTP18,0.0017966799785711465
OSBPL10,0.001783832558172376
TMEM170B,0.001776835020116169
WDSUB1,0.0015534854108058761
PI4KB,0.0015509864258594888
FMN1,0.0014548698182818567
PPM1K,0.0013839506036652362
RAB29,0.0013134958878213549
HARBI1,0.0012937816021929074
SPRED1,0.0012658090864597375
PSMB6,0.0012614646466006382
CERS5,0.0010872132506352073
PCNA,0.0010272726659687694
SMARCA4,0.0010270364106938407
TTC3,0.0009555726923125979
CEP41,0.0008806996229562419
ANKH,0.0007809528321680304
RPL11P3,0.0007725319417624635
ENSG00000276533,0.0007654773558160368
RPL7AP50,0.0005130561150468135
TXLNGY,0.0002534044622353733
NDUFB7,0.0002511649167800707
ENSG00000204282,0.00016625610155960398
SLC49A3,0.0
RWDD2B,0.0
KDM4C,0.0
RPS7,0.0
IFNAR2,0.0
CTIF,0.0
PPP1R3E,0.0
MCL1,0.0
LMF2,0.0
CAPN1,0.0
PLA2G15,0.0
HSBP1,0.0
EMC4,0.0
BDH2,0.0
HDAC8,0.0
HTATSF1,0.0
DCUN1D4,0.0
EEF1AKMT2,0.0
RARA,0.0
CLPB,0.0
RPL29,0.0
ENSG00000225138,0.0
CAPRIN2,0.0
ENSG00000223745,0.0
DUS4L,0.0
MTMR3,0.0
RPL31,0.0
PSMB4,0.0
MAVS,0.0
MTERF4,0.0
SH3BP5L,0.0
RBM45,0.0
TRBV12-3,0.0
COMMD9,0.0
PPM1M,0.0
ZNF775,0.0
POP5,0.0
EZH1,0.0
PRPF18,0.0
RTCB,0.0
MRTFB,0.0
MOB3C,0.0
C1GALT1C1,0.0
LRIG2,0.0
ZDHHC21,0.0
RNASE1,0.0
TOX4,0.0
TRIM39,0.0
ENSG00000244313,0.0
NT5C3B,0.0
KLF8,0.0
ZWINT,0.0
LRRC41,0.0
PPP1CB,0.0
ENSG00000282572,0.0
RDH11,0.0
CHEK1,0.0
TARS3,0.0
AP5Z1,0.0
FPGT,0.0
NCBP2,0.0
CCNB2,0.0
HSPB11,0.0
LINC00989,0.0
SHROOM1,0.0
BNIP3,0.0
CEROX1,0.0
PUSL1,0.0
UBQLN4,0.0
OCIAD2,0.0
IGLV2-8,0.0
CDAN1,0.0
RHOF,0.0
SNORA74B,0.0
TTF2,0.0
C18orf32,0.0
RBMX,0.0
ACTN1,0.0
CCHCR1,0.0
DENND3,0.0
ZBTB25,0.0
ENSG00000254635,0.0
LINC00641,0.0
POLDIP3,0.0
CLPX,0.0
LYST,0.0
ZNF875,0.0
NFIL3,0.0
FBXL16,0.0
TRBV3-1,0.0
IMP4,0.0
IGKV1-8,0.0
ENSG00000280392,0.0
BRIX1,0.0
ANKRD44-IT1,0.0
COMMD4,0.0
GOLT1B,0.0
NAV1,0.0
LILRB2,0.0
PAXBP1,0.0
RFC4,0.0
ENSG00000255031,0.0
ZSWIM8,0.0
WWP1,0.0
ANO10,0.0
APOBEC3H,0.0
LMAN2,0.0
ENOSF1,0.0
CEP43,0.0
CRCP,0.0
DZIP1L,0.0
ALPK1,0.0
HLA-DRA,0.0
ARHGEF9,0.0
PPP1R14A,0.0
DDX18,0.0
ENSG00000239665,0.0
LINC-PINT,0.0
LBHD1,0.0
CNOT7,0.0
ADD2,0.0
SLC36A1,0.0
ZFAND5,0.0
IQSEC1,0.0
ASAP2,0.0
PSMC1,0.0
DNAJC2,0.0
ELL2,0.0
TFAP4,0.0
EFEMP2,0.0
ABALON,0.0
