Feature,Mean_ABS_SHAP
MAP2K3,0.06050477157542199
SLC36A1,0.052121645076940205
RCN2,0.03247735447967416
SMN1,0.030037934360601596
RPS7,0.02812683096898983
RPL29,0.02647943524479248
IL1R2,0.02190376509362976
ENSG00000282572,0.017457263906804386
ARL4C,0.013605068575571087
CHCHD10,0.012960558473879245
UBE2O,0.01275079311236816
KLHL21,0.01212221513203787
LSM12,0.01206503190699876
STEAP4,0.00996621955303605
EEF1AKMT2,0.008430691531333275
GPR180,0.008164103618637035
ACTN1,0.007716595003640052
DCBLD1,0.005221194082243631
SUSD1,0.0047993878051428235
CERS5,0.003618155876320718
MBD3,0.003139175650425816
RBMX,0.0027607815163916737
MIR223HG,0.00267614769294243
WDR25,0.002545162185924796
CTBP1,0.0024098041889542435
PTGES,0.0020338866984251844
SAP30,0.0017461285418780062
PI4KB,0.0017458979582602764
IRS1,0.0016802277448082223
GBP1,0.0014536443255968633
ANGPT1,0.001288426155763447
HSPB11,0.0011320984990730865
ALPK1,0.0011096440494775838
DCUN1D1,0.0010155945175455811
TXLNGY,0.0009918516291812555
ENSG00000276533,0.0008569161715345444
YOD1,0.0008553926774968148
NDUFB7,0.0007492135400019227
PRPF18,0.0007167701797603479
CD27,0.0005786871643335668
ATP5F1B,0.0005226576858268187
SPRED1,0.00023376903387738074
KLF8,0.00019748223453239794
OSBPL10,0.00010930066174912899
HDAC8,0.0
PLA2G15,0.0
BDH2,0.0
KDM4C,0.0
H2BC10,0.0
HSBP1,0.0
SLC49A3,0.0
RWDD2B,0.0
PPP1R3E,0.0
LMF2,0.0
IFNAR2,0.0
MTMR3,0.0
RBM45,0.0
NRN1,0.0
ENOSF1,0.0
CEP43,0.0
CRCP,0.0
DZIP1L,0.0
TBP,0.0
SNORA74B,0.0
PPP1CB,0.0
TRIM39,0.0
ZWINT,0.0
TRBV12-3,0.0
PSMB6,0.0
CAPN1,0.0
MCL1,0.0
CTIF,0.0
EMC4,0.0
SH3BP5L,0.0
MRTFB,0.0
IQCB1,0.0
CLPB,0.0
ANKH,0.0
ZNF775,0.0
PPM1M,0.0
LTV1,0.0
COMMD9,0.0
RARA,0.0
ENSG00000204282,0.0
WDSUB1,0.0
DCUN1D4,0.0
RAP1GAP2,0.0
RPL31,0.0
ENSG00000225138,0.0
UTP18,0.0
CAPRIN2,0.0
ENSG00000223745,0.0
DUS4L,0.0
ZDHHC21,0.0
NT5C3B,0.0
ENSG00000244313,0.0
HTATSF1,0.0
SLC45A4,0.0
EZH1,0.0
MTERF4,0.0
RTCB,0.0
ZFYVE1,0.0
MOB3C,0.0
C1GALT1C1,0.0
TPX2,0.0
POP5,0.0
LRIG2,0.0
APOBEC3H,0.0
MAVS,0.0
RNASE1,0.0
TOX4,0.0
PSMB4,0.0
LMAN2,0.0
LRRC41,0.0
ANO10,0.0
CCNB2,0.0
CDAN1,0.0
RDH11,0.0
CHEK1,0.0
TARS3,0.0
TTC3,0.0
AP5Z1,0.0
FPGT,0.0
NCBP2,0.0
LOC101928834,0.0
HSPA9,0.0
CPEB4,0.0
SNAPC2,0.0
SMARCA4,0.0
SHROOM1,0.0
BNIP3,0.0
CEROX1,0.0
PUSL1,0.0
KLHL18,0.0
LINC00989,0.0
RHOF,0.0
ZSWIM8,0.0
TTF2,0.0
C18orf32,0.0
PCNA,0.0
CCHCR1,0.0
DENND3,0.0
CDCA2,0.0
ZBTB25,0.0
ENSG00000254635,0.0
ZC3HAV1,0.0
LINC00641,0.0
POLDIP3,0.0
CLPX,0.0
LYST,0.0
PPM1K,0.0
ZNF875,0.0
NFIL3,0.0
FBXL16,0.0
TRBV3-1,0.0
IMP4,0.0
UBQLN4,0.0
OCIAD2,0.0
IGLV2-8,0.0
LILRB2,0.0
PPP1R14A,0.0
NRBF2,0.0
ARHGEF9,0.0
HLA-DRA,0.0
COMMD4,0.0
GOLT1B,0.0
NAV1,0.0
RPL7AP50,0.0
CEP41,0.0
IGKV1-8,0.0
TLE5,0.0
PAXBP1,0.0
SLC7A7,0.0
FMN1,0.0
RFC4,0.0
ENSG00000255031,0.0
ANKRD44-IT1,0.0
RPL11P3,0.0
EFEMP2,0.0
TFAP4,0.0
ELL2,0.0
DNAJC2,0.0
ENSG00000280392,0.0
BRIX1,0.0
WWP1,0.0
HARBI1,0.0
DDX18,0.0
ENSG00000239665,0.0
LINC-PINT,0.0
LBHD1,0.0
CNOT7,0.0
IL17RA,0.0
ADD2,0.0
ZFAND5,0.0
RAB29,0.0
TMEM170B,0.0
IQSEC1,0.0
ASAP2,0.0
PSMC1,0.0
ABALON,0.0
