Feature,Mean_ABS_SHAP
MAP2K3,0.06050477157542199
SLC36A1,0.052121645076940205
RCN2,0.03247735447967416
SMN1,0.030037934360601596
RPS7,0.02812683096898983
RPL29,0.02647943524479248
IL1R2,0.02190376509362976
ENSG00000282572,0.017457263906804386
ARL4C,0.013605068575571087
CHCHD10,0.012960558473879245
UBE2O,0.01275079311236816
KLHL21,0.01212221513203787
LSM12,0.01206503190699876
STEAP4,0.00996621955303605
EEF1AKMT2,0.008430691531333275
GPR180,0.008164103618637035
ACTN1,0.007716595003640052
DCBLD1,0.005221194082243631
SUSD1,0.0047993878051428235
CERS5,0.003618155876320718
