Feature,Mean_ABS_SHAP
SLC36A1,0.06740605381875896
MAP2K3,0.06511684917106925
RPL29,0.03260267146621028
RCN2,0.02678024439968633
RPS7,0.025621516699432634
SMN1,0.02489821376374293
ENSG00000282572,0.020745278681879274
IL1R2,0.018336596771090726
ACTN1,0.009891792562116463
ARL4C,0.009699702375856323
LSM12,0.00915812830858621
STEAP4,0.009077145628791873
KLHL21,0.007834052910330317
CHCHD10,0.007824313843215351
UBE2O,0.007662586516485871
GPR180,0.007212836910855789
EEF1AKMT2,0.006029207473675334
MTMR3,0.003269697151250151
RBMX,0.0030783194914084317
DCBLD1,0.0029496136522002923
PRPF18,0.002911859655123917
SUSD1,0.002643443476838309
YOD1,0.002540353099339537
CERS5,0.002157782117240589
MBD3,0.0017682888703241047
LTV1,0.0017412444638245901
PTGES,0.0016171428774679124
WDR25,0.0015264709171417786
CTBP1,0.0014951492558670351
SLC45A4,0.0014545446093265336
IL17RA,0.0013416497881434568
SLC7A7,0.0011550942805149227
ENSG00000276533,0.0011362934190613445
UTP18,0.0011172439797357495
DENND3,0.0009748373882479955
DCUN1D1,0.0008000178403768452
SAP30,0.0006495907276152865
OCIAD2,0.0005749526828085235
FMN1,0.0005742372592057005
CPEB4,0.0005374823628130798
ABALON,0.0004904723184116114
ZFYVE1,0.00045198380386538266
IQCB1,0.0003907610146425032
ATP5F1B,0.00037470965704893027
KLHL18,0.00027086990692540925
NCBP2,0.0
EZH1,0.0
LMF2,0.0
EMC4,0.0
DCUN1D4,0.0
PPM1K,0.0
LYST,0.0
CLPX,0.0
RWDD2B,0.0
LINC00641,0.0
RTCB,0.0
MRTFB,0.0
MOB3C,0.0
C1GALT1C1,0.0
TPX2,0.0
POP5,0.0
PPP1R3E,0.0
HSBP1,0.0
SLC49A3,0.0
NFIL3,0.0
ZWINT,0.0
TRBV3-1,0.0
FBXL16,0.0
PSMB6,0.0
CAPN1,0.0
MCL1,0.0
CTIF,0.0
NRN1,0.0
TTF2,0.0
ZNF875,0.0
KDM4C,0.0
IFNAR2,0.0
PLA2G15,0.0
BDH2,0.0
HDAC8,0.0
H2BC10,0.0
LRIG2,0.0
TOX4,0.0
RNASE1,0.0
CD27,0.0
ZBTB25,0.0
CAPRIN2,0.0
ENSG00000223745,0.0
DUS4L,0.0
CDCA2,0.0
CCHCR1,0.0
RPL31,0.0
PSMB4,0.0
PPP1CB,0.0
MAVS,0.0
MTERF4,0.0
PCNA,0.0
C18orf32,0.0
SH3BP5L,0.0
RBM45,0.0
TRBV12-3,0.0
ENSG00000225138,0.0
ENSG00000254635,0.0
ZC3HAV1,0.0
RAP1GAP2,0.0
SPRED1,0.0
HTATSF1,0.0
ENSG00000244313,0.0
NT5C3B,0.0
KLF8,0.0
ZDHHC21,0.0
ANKH,0.0
ZNF775,0.0
PPM1M,0.0
GBP1,0.0
COMMD9,0.0
RARA,0.0
ENSG00000204282,0.0
CLPB,0.0
WDSUB1,0.0
TRIM39,0.0
SNORA74B,0.0
CCNB2,0.0
LBHD1,0.0
ENSG00000280392,0.0
BRIX1,0.0
WWP1,0.0
HARBI1,0.0
DDX18,0.0
ENSG00000239665,0.0
LINC-PINT,0.0
CNOT7,0.0
CDAN1,0.0
LINC00989,0.0
ADD2,0.0
HSPA9,0.0
ZFAND5,0.0
RHOF,0.0
RAB29,0.0
TMEM170B,0.0
IGKV1-8,0.0
IGLV2-8,0.0
TBP,0.0
BNIP3,0.0
LOC101928834,0.0
FPGT,0.0
AP5Z1,0.0
SNAPC2,0.0
SMARCA4,0.0
HSPB11,0.0
SHROOM1,0.0
TTC3,0.0
RDH11,0.0
TARS3,0.0
CEROX1,0.0
PUSL1,0.0
NDUFB7,0.0
PI4KB,0.0
UBQLN4,0.0
CHEK1,0.0
IQSEC1,0.0
ASAP2,0.0
PSMC1,0.0
ZSWIM8,0.0
PAXBP1,0.0
IRS1,0.0
TXLNGY,0.0
RFC4,0.0
ENSG00000255031,0.0
ANKRD44-IT1,0.0
RPL11P3,0.0
IMP4,0.0
DNAJC2,0.0
ANO10,0.0
APOBEC3H,0.0
LMAN2,0.0
ENOSF1,0.0
CEP43,0.0
CRCP,0.0
DZIP1L,0.0
TLE5,0.0
CEP41,0.0
LILRB2,0.0
OSBPL10,0.0
ELL2,0.0
TFAP4,0.0
POLDIP3,0.0
EFEMP2,0.0
PPP1R14A,0.0
NRBF2,0.0
ARHGEF9,0.0
MIR223HG,0.0
ANGPT1,0.0
HLA-DRA,0.0
ALPK1,0.0
COMMD4,0.0
GOLT1B,0.0
NAV1,0.0
RPL7AP50,0.0
LRRC41,0.0
