Feature,Mean_ABS_SHAP
SLC36A1,0.06740605381875896
MAP2K3,0.06511684917106925
RPL29,0.03260267146621028
RCN2,0.02678024439968633
RPS7,0.025621516699432634
SMN1,0.02489821376374293
ENSG00000282572,0.020745278681879274
IL1R2,0.018336596771090726
ACTN1,0.009891792562116463
ARL4C,0.009699702375856323
LSM12,0.00915812830858621
STEAP4,0.009077145628791873
KLHL21,0.007834052910330317
CHCHD10,0.007824313843215351
UBE2O,0.007662586516485871
GPR180,0.007212836910855789
EEF1AKMT2,0.006029207473675334
MTMR3,0.003269697151250151
RBMX,0.0030783194914084317
DCBLD1,0.0029496136522002923
