Feature,Mean_ABS_SHAP
Length of Hospitalization,3.934933004862264
RPL29,3.685513816747293
RPL31,2.0972479449866595
ZFYVE1,1.446516304307328
ABALON,1.1744815599689158
RNF10,0.864479016690513
PGRMC2,0.5559807377425676
DDX50,0.490404243565638
POP5,0.46593757771300953
MTMR3,0.3870298358593429
GRB10,0.36498770839312644
APOBEC3H,0.352400959204041
LINC02289,0.34994039823986645
NTPCR,0.326213797094429
RNF24,0.3092413445857012
ZNF217,0.30747285387967555
RCN2,0.3062907766142002
CEP41,0.2950264975936251
TRIM39,0.26592098193206015
EMC4,0.23726090580063117
ENSG00000276533,0.21418496755489094
TRAV3,0.2130332252684154
RBM45,0.20016810810180113
DCUN1D1,0.19989429036630002
MAP2K3,0.19949975631336572
IGKV2D-28,0.19781513303886525
DCBLD1,0.1805048289011679
SH3BP5L,0.1605588077274554
MAP3K11,0.15097753970933842
RBM3,0.14995023047860312
IGLV2-8,0.13977688652159642
ICAM3,0.13899702283322157
WDSUB1,0.13346745091387283
MAVS,0.1321171427569644
ADA,0.13078262438848623
PPM1K,0.12746617527559978
Remdesivir_Yes,0.1268357422703796
UBE2O,0.1260489294783509
SAMD4B,0.1212974191058227
RBPJ,0.11597480392461003
TLR6,0.1077474584519926
TBP,0.10742250636148455
TRBV12-3,0.10639748673374709
SLC2A4RG,0.10583122230111143
FBXL16,0.10504282138611767
TOMM20,0.10024109458116057
PPP1R3E,0.10011707805906787
SLC45A4,0.09809965956636756
OCIAD2,0.09193479998997638
MBD3,0.09056281623665317
UTP15,0.08994856391476434
NSMAF,0.08924817760972839
MRPL30,0.08734252612491192
ZWINT,0.08710507011981633
IFNAR2,0.08699879555845433
NAV1,0.0860202096456671
TLE4,0.08596809504748731
UBA2,0.0827999662662939
TNRC6B,0.08148627184466228
TRBV3-1,0.08142869971142838
SRGAP2C,0.08124027423380463
RABL2A,0.07946702497381941
MCL1,0.07738461208877831
OR2B6,0.07465539425210464
DGKG,0.07454546184928647
HTATSF1,0.07252736610725163
LTV1,0.07008213931189487
IL17RA,0.07003479828587708
ZDHHC21,0.06704757462247178
DNAJC16,0.0666670828755692
CRCP,0.06615927429771326
SAP30,0.06505827902972695
C18orf32,0.06429915477350565
EOLA2-DT,0.06046688744699934
EPB41,0.05787510226664132
CIR1,0.056639912500334
KIF11,0.056144421413891865
DCUN1D4,0.05600299209493046
FOXJ2,0.054875739525316033
GPR180,0.05293906119212687
CPEB4,0.05254051815690583
ZNF528,0.0507052682382454
CD37,0.05065646118690838
PUSL1,0.049501191306091985
CENPK,0.04857326893443865
ENSG00000279453,0.04693381965256041
STEAP4,0.045968475536823025
LSM12,0.0455812503411983
ENSG00000244313,0.04267511556003542
RAB29,0.0422659476626473
NFIL3,0.042263532740469935
DTL,0.04216562301765491
ENSG00000282572,0.03873225965479351
CSTF2,0.037958182185941186
PTGES3,0.03752106561162439
RNASE1,0.03716083015516168
MRTFB,0.03648378316150851
ATP11A,0.03645114160257051
USF3,0.035442505211459405
PCNA,0.03512483979141547
TTC21B,0.03507342689743774
UTP18,0.034704862429480815
SMARCA4,0.03340818390936416
POMT2,0.03293288260965792
RACGAP1,0.0328483057899567
TXLNGY,0.02925158919713589
COMMD9,0.027725485919736267
SUSD1,0.02677025361012586
NAA30,0.026321965462628015
HDAC8,0.02581227218629261
CDAN1,0.025402739466873714
TTC3,0.024462512813957386
ZSWIM8,0.02430844799220583
SLC7A7,0.02392966676559479
DBT,0.02383359257251328
OPLAH,0.02339931791371774
USP48,0.023067998552213868
THEM6,0.019718924416058103
RPL11P3,0.016458027971510494
NRN1,0.016060194481270766
INPP5A,0.015952915390188192
ENSG00000267174,0.015557277583459974
TPX2,0.015229355822869828
PSMB6,0.015086891001604544
POLE4,0.014893582175001295
ARHGEF9,0.01473231368378909
RWDD2B,0.014414505697299981
DHX32,0.014305232997659722
ENSG00000204282,0.013418736357433654
FASTKD3,0.013072170980557822
COG1,0.011284886034470198
AIF1,0.010984871862841321
DNAJC2,0.010685006478811505
DUSP23,0.010383483846366963
RNLS,0.009614204010316539
KLHL18,0.009009025209209692
LINC00989,0.008916017608470385
PPM1M,0.008352465648445943
KDM4C,0.00834614660189538
RAD21,0.007393926117361735
THEM5,0.006329169591888901
PKD1,0.004641630360103799
WDR25,0.004535459839806795
ZFAND5,0.004328890145115497
WWP1,0.00411598912031074
NUDT16L2P,0.0037495300593643494
STK40,0.0037283590024017833
LOC101928834,0.002954291359242923
IRS1,0.0027627604844676083
MTERF4,0.0026875718056125924
ATP5F1B,0.0025563810281367056
RPL7AP50,0.002506321768955933
DGKE,0.0024771131503653282
HLA-DRA,0.0023401551789425813
ZNF512B,0.00197792527208072
RARA,0.0015648982851452547
KANK2,0.0007807708053392907
ZNF775,0.0007287615559699202
MOB3C,0.0007090900921675332
WIPI2,0.0005298298153618667
H2BC10,0.0004919949512280084
LINC00680,0.00043488362139000093
SMN1,0.00038595001257953445
CEP43,0.0003064427843336215
PDXP,0.00028107020240804065
DYRK3,0.00024794342020227454
CLIC2,0.00024030733008875038
ANKH,0.00023231677841503896
ZNF174,0.0002058099323579392
ZDHHC3,0.00015670931047835957
ENSG00000223745,0.00014996241815373176
RAN,0.00011402843446762086
CLPB,0.00010638454340409137
C10orf88,9.471012072746701e-05
ENSG00000280407,9.272606646515935e-05
PHYKPL,2.9279220697021265e-05
ANO10,1.5437325963797314e-05
RNF220,1.30191738924967e-05
RAP1GAP2,1.2006616034862804e-05
FAM216A,9.909286094707157e-06
CAPRIN2,9.627021882586813e-06
SLC49A3,8.949734911963682e-06
USB1,6.885879306663859e-06
TOX4,4.3478620255041355e-06
ENSG00000276345,4.301247465136088e-06
PAXIP1-DT,3.6631925104782594e-06
HARBI1,2.835808146433398e-06
ZNF343,2.13996227512281e-06
NIFK,1.5418797873221254e-06
BDH2,2.96391113060986e-07
CCNT2,2.1202761599476926e-07
TFAP4,3.1918055848057205e-08
PRPF18,3.134096231158469e-08
FECH,2.676057013756614e-08
ENSG00000225138,2.7600887773304843e-09
OSBPL10,0.0
PAXBP1,0.0
HSBP1,0.0
RTCB,0.0
DUS4L,0.0
