Feature,Mean_ABS_SHAP
Length of Hospitalization,0.899964748815019
RPL29,0.7113728590749706
ZFYVE1,0.5110902181823341
RPL31,0.4800398852812732
RNF10,0.2877285467785603
GRB10,0.28142532852437224
RCN2,0.1740249310617654
MAP2K3,0.15519706895675242
PGRMC2,0.11611072523513263
LINC02289,0.0816854918572511
DYRK3,0.0747523677580619
ICAM3,0.03613283426071604
OPLAH,0.03530395031941691
DCBLD1,0.031250908993284206
ADA,0.023770233176291504
DDX50,0.017708290484273567
SLC2A4RG,0.016124702325237245
RBPJ,0.0
SRGAP2C,0.0
TFAP4,0.0
