Feature,Importance
Length of Hospitalization,0.29165964317397153
RPL29,0.17064632383302086
RPL31,0.16047319381158923
GRB10,0.07970219381660583
PGRMC2,0.07909003680553377
ZFYVE1,0.05980834364480141
RNF24,0.02589660160247593
DDX50,0.024953858786334705
POP5,0.016031978029181247
MTMR3,0.014819313499694975
ABALON,0.00999713548325813
IL17RA,0.009738272271899995
TOMM20,0.008966110030644514
MAVS,0.00895239582028196
ZNF217,0.008753565519898893
RNF10,0.005840212446569881
OPLAH,0.0021133128832277366
Remdesivir_Yes,0.001953759597899086
MAP2K3,0.0019007486635526185
SLC45A4,0.0014589247031858903
DYRK3,0.0012914909617050521
POLE4,0.0012511239476035436
AIF1,0.0010142227784458535
INPP5A,0.0010097679567572571
KIF11,0.0009005744801688517
LINC02289,0.0007539146420702309
BDH2,0.0007374548753520217
DUS4L,0.0007306577605379554
SLC2A4RG,0.000709776400840854
KANK2,0.0007008923074494221
RPL7AP50,0.0006753488853221884
RCN2,0.0006578427194239206
APOBEC3H,0.000654614183581228
TRAV3,0.0006296888740814439
FECH,0.0005924481498749298
DHX32,0.0004900546260275202
UBA2,0.000459022097868441
NFIL3,0.000453604447288329
HARBI1,0.0003572873399086838
TOX4,0.0003325328830603521
EOLA2-DT,0.0003234510428546045
TNRC6B,0.0003234510428546021
ENSG00000282572,0.00031654446067998297
ENSG00000276533,0.000252501776497092
DCBLD1,0.0002400387667381213
ICAM3,0.00023026596687358568
TFAP4,0.0001772355873237289
RNF220,9.796893494505074e-05
ENSG00000225138,9.523809523809566e-05
DTL,5.167718718315834e-05
PRPF18,4.97406864891557e-05
ENSG00000267174,4.914324005466161e-05
IRS1,4.8819018669020216e-05
HSBP1,4.872881103008167e-05
LSM12,4.795064090080009e-05
WWP1,4.790470924902958e-05
ZNF775,4.752186066658508e-05
CLPB,4.747352984725643e-05
FBXL16,4.701894826616127e-05
IFNAR2,4.660440133501359e-05
DCUN1D4,4.590188204369628e-05
FOXJ2,4.560067488998185e-05
MTERF4,4.560067488997772e-05
TTC3,4.558489002972346e-05
STK40,3.52363691648031e-05
RBM3,3.455206028988289e-05
RARA,1.1197763147474627e-17
FAM216A,7.73834601946034e-18
ENSG00000244313,7.721405833551794e-18
PPM1K,6.478818527537616e-18
ADA,4.7106763177212146e-18
SLC49A3,4.4610150777634806e-18
ARHGEF9,4.440892098500626e-18
LTV1,0.0
RBPJ,0.0
COMMD9,0.0
SRGAP2C,0.0
HLA-DRA,0.0
COG1,0.0
RBM45,0.0
ENSG00000276345,0.0
SH3BP5L,0.0
MCL1,0.0
LINC00989,0.0
ENSG00000204282,0.0
DCUN1D1,0.0
ZSWIM8,0.0
PAXBP1,0.0
UTP18,0.0
ZNF512B,0.0
EPB41,0.0
NIFK,0.0
HTATSF1,0.0
KDM4C,0.0
TPX2,0.0
DNAJC2,0.0
HDAC8,0.0
ZNF528,0.0
GPR180,0.0
LOC101928834,0.0
CDAN1,0.0
RAB29,0.0
RNASE1,0.0
RPL11P3,0.0
ZDHHC21,0.0
THEM5,0.0
WDSUB1,0.0
NRN1,0.0
TXLNGY,0.0
ENSG00000280407,0.0
SAP30,0.0
CD37,0.0
CEP43,0.0
RWDD2B,0.0
CAPRIN2,0.0
MRTFB,0.0
MOB3C,0.0
NAV1,0.0
TLR6,0.0
ENSG00000279453,0.0
TRBV3-1,0.0
NTPCR,0.0
WIPI2,0.0
RAP1GAP2,0.0
IGLV2-8,0.0
PKD1,0.0
CCNT2,0.0
UTP15,0.0
USB1,0.0
LINC00680,0.0
RAD21,0.0
ENSG00000223745,0.0
CRCP,0.0
CENPK,0.0
TRIM39,0.0
C10orf88,0.0
NAA30,0.0
IGKV2D-28,0.0
TBP,0.0
SUSD1,0.0
PSMB6,0.0
MRPL30,0.0
ANKH,0.0
TLE4,0.0
POMT2,0.0
PDXP,0.0
ZNF343,0.0
OR2B6,0.0
USP48,0.0
RAN,0.0
SLC7A7,0.0
SMARCA4,0.0
RNLS,0.0
RACGAP1,0.0
DGKE,0.0
EMC4,0.0
FASTKD3,0.0
DUSP23,0.0
ZDHHC3,0.0
NSMAF,0.0
DBT,0.0
SAMD4B,0.0
RTCB,0.0
ATP11A,0.0
PCNA,0.0
RABL2A,0.0
SMN1,0.0
USF3,0.0
CLIC2,0.0
CPEB4,0.0
KLHL18,0.0
PPP1R3E,0.0
H2BC10,0.0
PTGES3,0.0
ZFAND5,0.0
TTC21B,0.0
PPM1M,0.0
CSTF2,0.0
THEM6,0.0
ATP5F1B,0.0
CEP41,0.0
OCIAD2,0.0
UBE2O,0.0
ZNF174,0.0
STEAP4,0.0
DNAJC16,0.0
PHYKPL,0.0
PUSL1,0.0
ZWINT,0.0
CIR1,0.0
WDR25,0.0
OSBPL10,0.0
MAP3K11,0.0
MBD3,0.0
C18orf32,0.0
ANO10,0.0
NUDT16L2P,0.0
DGKG,0.0
PAXIP1-DT,0.0
TRBV12-3,0.0
