Feature,Mean_ABS_SHAP
Length of Hospitalization,0.1248155806996964
RPL29,0.08783124064944844
RPL31,0.07026724122275294
GRB10,0.03488520132375538
PGRMC2,0.03443717704127736
ZFYVE1,0.029748343055133943
DDX50,0.029300015621999673
RNF24,0.013683348609768664
ABALON,0.010635761235765744
POP5,0.00823850781160488
MTMR3,0.007467123449050133
RNF10,0.007160248474954046
MAVS,0.004697150125675108
TOMM20,0.004176775301794673
IL17RA,0.0040210235406452875
ZNF217,0.00395131428791948
MAP2K3,0.002248250345966314
OPLAH,0.0022430829510168794
SLC2A4RG,0.002190181500622737
Remdesivir_Yes,0.0021269462396597276
RCN2,0.0014142225574375726
SLC45A4,0.001366684546349335
FECH,0.0012376425918736653
LINC02289,0.0011052332308422634
UBA2,0.0010618863199463558
DYRK3,0.0010555973237422868
HARBI1,0.0010117478300974458
ENSG00000276533,0.0009858425344314418
KIF11,0.0009597021665597495
ICAM3,0.0009364113865886261
KANK2,0.0009017887288180944
DHX32,0.000870759461208172
TOX4,0.0008095256582584261
TRAV3,0.0007750654525946984
RNF220,0.00076191362685458
APOBEC3H,0.0007579222152383487
RPL7AP50,0.0006548407402950571
NFIL3,0.0006438794514719401
BDH2,0.0005652063557479857
DCBLD1,0.0005593214684588763
AIF1,0.0005562370233496896
POLE4,0.0005386462522704947
DUS4L,0.0005148531825656374
INPP5A,0.00047875032714224104
ZNF775,0.0004555898214992675
ENSG00000225138,0.0004513888888888891
TFAP4,0.0004389817342130602
ENSG00000282572,0.00041751826154519357
PRPF18,0.0004172376094746764
WWP1,0.0004058653450621777
TTC3,0.0003939856654714227
IFNAR2,0.0003210235017967576
FOXJ2,0.00031433304261829916
EOLA2-DT,0.000304083842776808
DCUN1D4,0.000269753019646716
MTERF4,0.0002614529237686429
RBM3,0.00025419285040314974
ENSG00000267174,0.00023171772411124538
LSM12,0.00020978421932413648
STK40,0.000208355944541617
TNRC6B,0.00020282444483600505
DTL,0.00016646003431775242
IRS1,0.0001614618243865354
FBXL16,0.00015004088435930713
CLPB,0.00013195950352368842
HSBP1,0.00012232146772308023
FAM216A,8.2953232116784e-19
RARA,7.747655705219805e-19
ENSG00000244313,7.378136505408061e-19
ARHGEF9,7.079006184659201e-19
PPM1K,6.760344244246054e-19
SLC49A3,5.587361021668332e-19
ADA,4.444049160713395e-19
RBM45,0.0
RBPJ,0.0
LTV1,0.0
SRGAP2C,0.0
HLA-DRA,0.0
GPR180,0.0
COMMD9,0.0
COG1,0.0
TPX2,0.0
MCL1,0.0
KDM4C,0.0
ENSG00000204282,0.0
DCUN1D1,0.0
ZSWIM8,0.0
PAXBP1,0.0
UTP18,0.0
ZNF512B,0.0
EPB41,0.0
NIFK,0.0
HTATSF1,0.0
SH3BP5L,0.0
NAV1,0.0
LINC00989,0.0
RPL11P3,0.0
LOC101928834,0.0
RNASE1,0.0
ENSG00000276345,0.0
TRBV3-1,0.0
ZDHHC21,0.0
ZNF528,0.0
WDSUB1,0.0
TXLNGY,0.0
CDAN1,0.0
SAP30,0.0
RAB29,0.0
CEP43,0.0
DNAJC2,0.0
THEM5,0.0
NRN1,0.0
HDAC8,0.0
TLR6,0.0
CD37,0.0
RWDD2B,0.0
CAPRIN2,0.0
MRTFB,0.0
MOB3C,0.0
ENSG00000279453,0.0
ENSG00000280407,0.0
NTPCR,0.0
WIPI2,0.0
RAP1GAP2,0.0
IGLV2-8,0.0
PKD1,0.0
CCNT2,0.0
UTP15,0.0
USB1,0.0
LINC00680,0.0
RAD21,0.0
ENSG00000223745,0.0
CRCP,0.0
CENPK,0.0
TRIM39,0.0
C10orf88,0.0
NAA30,0.0
IGKV2D-28,0.0
TBP,0.0
SUSD1,0.0
PSMB6,0.0
MRPL30,0.0
ANKH,0.0
TLE4,0.0
POMT2,0.0
PDXP,0.0
ZNF343,0.0
OR2B6,0.0
USP48,0.0
RAN,0.0
SLC7A7,0.0
SMARCA4,0.0
RNLS,0.0
RACGAP1,0.0
DGKE,0.0
EMC4,0.0
FASTKD3,0.0
DUSP23,0.0
ZDHHC3,0.0
NSMAF,0.0
DBT,0.0
SAMD4B,0.0
RTCB,0.0
ATP11A,0.0
PCNA,0.0
RABL2A,0.0
SMN1,0.0
USF3,0.0
CLIC2,0.0
CPEB4,0.0
KLHL18,0.0
PPP1R3E,0.0
H2BC10,0.0
PTGES3,0.0
ZFAND5,0.0
TTC21B,0.0
PPM1M,0.0
CSTF2,0.0
THEM6,0.0
ATP5F1B,0.0
CEP41,0.0
OCIAD2,0.0
UBE2O,0.0
ZNF174,0.0
STEAP4,0.0
DNAJC16,0.0
PHYKPL,0.0
PUSL1,0.0
ZWINT,0.0
CIR1,0.0
WDR25,0.0
OSBPL10,0.0
MAP3K11,0.0
MBD3,0.0
C18orf32,0.0
ANO10,0.0
NUDT16L2P,0.0
DGKG,0.0
PAXIP1-DT,0.0
TRBV12-3,0.0
