Feature,Importance,Mean_SHAP
CCL4L1,0.0032684017130770204,0.0015041346477255829
ZFP36L2,0.002822834246120238,-0.0002273040839709057
CCL4,0.0027015710038571605,0.00033188839409339834
CSRNP1,0.0026774419795282047,0.0007201124616542189
SPON2,0.002433600338195277,0.00044947022702879197
MOCS3,0.002378854180492794,0.00011443346113226389
CCL4L2,0.002047140013356423,0.0006870778147744293
AURKB,0.001987867727304452,0.0008234463759067686
CCL3L1,0.001796582510586359,-0.0001940854257042282
DHFR,0.00179152590863167,0.00037007802143019803
IGHV3-72,0.0017807804662297363,-0.0004554308249295426
DPH2,0.001771109097213075,-0.00033030091323707895
CENPO,0.0017234402507668972,-0.00011773183611198541
DPEP2,0.00170247914233213,0.00039579223141906214
EPRS1,0.0017020005400755899,0.0004918338233003911
CRELD1,0.0016897727658478216,0.00020877870912304448
FCGR2B,0.0016700141477147296,-0.00011781456067214906
SYTL3,0.001641080608616368,0.0007726335064424567
TMIGD2,0.0015897444912961135,5.316742682808208e-05
ZNF319,0.0015424159391819417,0.00030342678514361357
