,Bidirectional_GRU,GRU,Residual_LSTM,Bidirectional_LSTM,Attention_LSTM,LSTM,Ensemble,Optimized_Weighted_Ensemble,CNN_LSTM,Deep_CNN,Transformer
CSRNP1,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047,0.0026774419795282047
EPRS1,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899,0.0017020005400755899
CCL4,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605,0.0027015710038571605
CCL3L1,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359,0.001796582510586359
SPON2,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277,0.002433600338195277
CCL4L2,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423,0.002047140013356423
CCL4L1,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204,0.0032684017130770204
IGHV3-72,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363,0.0017807804662297363
DPEP2,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213,0.00170247914233213
ZFP36L2,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238,0.002822834246120238
AURKB,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452,0.001987867727304452
CENPO,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972,0.0017234402507668972
MOCS3,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794,0.002378854180492794
DPH2,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075,0.001771109097213075
DHFR,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167,0.00179152590863167
