Model,AUC,Precision,Recall,F1_Score,SHAP_Analysis
Bidirectional_LSTM,0.8819875776397516,0.8461538461538461,0.7857142857142857,0.8148148148148148,✅ Success
Bidirectional_GRU,0.8757763975155279,0.8333333333333334,0.7142857142857143,0.7692307692307692,✅ Success
Attention_LSTM,0.8757763975155279,0.8076923076923077,0.75,0.7777777777777779,✅ Success
LSTM,0.8586956521739131,0.7857142857142857,0.7857142857142857,0.7857142857142857,✅ Success
Ensemble,0.8571428571428572,0.7916666666666666,0.6785714285714286,0.7307692307692307,✅ Success
Optimized_Weighted_Ensemble,0.8509316770186337,0.7916666666666666,0.6785714285714286,0.7307692307692307,✅ Success
GRU,0.8509316770186335,0.8260869565217391,0.6785714285714286,0.7450980392156864,✅ Success
Residual_LSTM,0.8431677018633541,0.8947368421052632,0.6071428571428571,0.7234042553191489,✅ Success
Deep_CNN,0.7779503105590062,0.8888888888888888,0.5714285714285714,0.6956521739130435,✅ Success
Transformer,0.7267080745341615,0.6956521739130435,0.5714285714285714,0.6274509803921569,✅ Success
CNN_LSTM,0.7204968944099379,0.65,0.4642857142857143,0.5416666666666667,✅ Success
