Model,Test AUC,Optimal Threshold,Accuracy,F1 Score,Precision,Recall
Residual_LSTM,0.9022,0.0855,0.8235,0.8421,0.8276,0.8571
Bidirectional_LSTM,0.8742,0.0158,0.8039,0.8387,0.7647,0.9286
LSTM,0.8602,0.0037,0.8235,0.8615,0.7568,1.0
Bidirectional_GRU,0.8571,0.0042,0.8039,0.8485,0.7368,1.0
Ensemble,0.8556,0.225,0.8235,0.8525,0.7879,0.9286
Optimized_Weighted_Ensemble,0.8556,0.2415,0.8235,0.8525,0.7879,0.9286
GRU,0.8525,0.0069,0.7843,0.8308,0.7297,0.9643
Attention_LSTM,0.8354,0.0005,0.7647,0.8235,0.7,1.0
CNN_LSTM,0.8137,0.0003,0.8039,0.8387,0.7647,0.9286
Deep_CNN,0.7811,0.0439,0.7647,0.7931,0.7667,0.8214
Transformer,0.6289,0.0,0.6863,0.75,0.6667,0.8571
