,ENSG00000144554,ENSG00000184216,ENSG00000182183,ENSG00000161714,ENSG00000182606,ENSG00000160271,ENSG00000110651,ENSG00000112167,ENSG00000182621,ENSG00000170915,ENSG00000084693,ENSG00000169609,ENSG00000247626,ENSG00000115875,ENSG00000092439,ENSG00000087586,ENSG00000163281,ENSG00000101412,ENSG00000115137,ENSG00000103222,ENSG00000136319,ENSG00000198876,ENSG00000139278,ENSG00000118960,ENSG00000102786,ENSG00000140455,ENSG00000118503,ENSG00000198932,ENSG00000104064,ENSG00000237499,ENSG00000170445,ENSG00000211669,ENSG00000182487,ENSG00000132661,ENSG00000162086,ENSG00000182481,ENSG00000115884,ENSG00000211970,ENSG00000107611,ENSG00000116701,ENSG00000100201,ENSG00000183298,ENSG00000177700,ENSG00000059758,ENSG00000120533,ENSG00000117713,ENSG00000169359,ENSG00000150961,ENSG00000094631,ENSG00000121104,ENSG00000130589,ENSG00000170448,ENSG00000138002,ENSG00000124102,ENSG00000179833,ENSG00000126777,ENSG00000172775,ENSG00000165233,ENSG00000198824,ENSG00000135919,ENSG00000188372,ENSG00000115607,ENSG00000036549,ENSG00000179632,ENSG00000211950,ENSG00000163376,ENSG00000116521,ENSG00000126787,ENSG00000162769,ENSG00000205155,ENSG00000179588,ENSG00000241015,ENSG00000134602,ENSG00000137501,ENSG00000108883
MVIR1HS101D0PBMC1RSQ1,9.383635524,11.63388165,8.535010081,6.744293302,10.5904458,8.619104611,11.32019117,8.38416246,8.744412774,8.586452731,8.526927022,8.807313491,8.264867707,12.79851626,11.49057106,7.960471799,8.065768162,8.943592651,8.184472896,11.57641429,8.710996943,10.02514295,11.6601796,9.567912554,10.85062935,11.96058212,13.92886628,8.60957903,9.126326299,8.449879908,10.12535316,8.404201779,9.746814317,8.737442904,8.966082649,10.25341488,8.051614123,6.478124526,9.253472198,12.13041264,14.10577018,8.054456517,10.77662492,11.23894837,10.21281268,13.0145136,7.319744539,10.6180231,10.03364776,10.66436492,11.88298652,8.797300541,8.669464616,5.76426848,10.48231752,11.61088491,10.99793443,10.38989438,9.438134155,6.662667949,6.925915791,9.784277165,10.21530628,11.14110691,7.552619404,7.981584281,10.16071832,8.404201779,8.634213547,7.620644734,9.410053488,8.539034339,10.10263203,10.9924967,11.41048027
MVIR1HS107D0PBMC1RSQ1,8.740308324,11.99306473,8.225396243,7.407512624,10.61312335,8.740308324,10.25243605,8.640579375,8.545627122,8.41270635,9.22281727,9.332919541,7.615286349,12.55541865,10.78603592,7.237434212,8.050425364,9.950958268,7.909454174,10.9572615,8.722360934,12.02610386,11.67438638,9.918433314,10.56094355,11.62299835,13.52165253,9.484732646,9.075618393,8.009024149,10.22104592,9.482612636,11.38110461,10.00800635,9.332919541,9.598716775,7.646968802,9.009264116,8.809913524,12.95023681,13.26635905,7.524078385,11.20119131,10.61698582,10.48688771,12.01992083,7.398102526,10.29043286,10.30846462,10.576896,9.943280673,8.417195572,8.376267555,9.163093417,10.97090456,11.17196136,10.77570788,11.66974743,8.644400837,7.795098246,7.215858995,9.20747586,9.990234348,12.5010998,10.43093179,7.883393542,10.47948058,7.435343564,8.426131308,8.026919397,8.124179674,8.478587542,10.59659137,9.197156115,11.42910971
MVIR1HS109D0PBMC1RSQ1,8.135690027,11.95432268,7.984650804,6.724430971,10.68455917,8.620776089,10.69175035,8.635896389,9.780100904,9.350124339,8.723380896,9.065312655,7.466755099,12.49331229,10.36580137,6.485975238,8.232433106,7.850666658,7.850666658,10.62570022,8.949511384,11.41092972,12.20430677,10.02204216,10.37327716,11.36295121,13.10087182,8.59521127,8.912855197,8.149928249,10.13545929,5.709362342,10.41008498,9.640682383,8.965505359,9.362227077,5.622875172,5.845621669,8.031715953,13.01274424,12.93865203,7.057066203,11.04609852,10.34618074,10.57863004,12.02384677,7.868147457,10.21251857,10.25199031,10.71428855,9.347082617,8.077233187,8.191790285,5.622875172,10.26972613,11.40729521,10.79440934,10.95242588,8.297651917,7.236995939,6.956216754,9.057878044,9.961795157,11.92106836,5.622875172,7.489956143,10.79218092,6.049534551,7.702112164,7.992607163,8.372109719,8.121304647,10.35828657,9.52443462,11.69887977
MVIR1HS10D0PBMC1RSQ4,8.00248028,12.34794005,6.972188059,6.679545229,10.69339083,8.126490443,9.639506005,8.048868505,10.04503712,9.049972792,8.939168944,8.864474606,7.141216349,12.1776203,10.30829592,7.904747558,7.942214721,9.903697892,7.441427723,9.846897368,8.354811611,11.18543991,12.36374775,10.45475717,10.17884742,11.47363355,13.48883719,8.354811611,8.566999851,8.986875892,9.897496381,5.234901474,11.44525648,9.722580609,8.025868781,10.18140074,5.234901474,6.225426479,6.775412944,13.976864,11.64144553,6.37162597,11.27535703,9.733070726,10.99987417,11.24274978,8.345621395,10.38781487,10.25111492,9.63204984,8.778873392,7.78577815,7.942214721,6.112144603,10.64243709,11.32003445,11.04820278,11.94972311,7.89202796,8.590445766,7.141216349,10.13473345,9.219115576,12.57684797,6.37162597,6.712423812,10.88090111,7.670523283,7.493954839,8.566999851,7.367951319,8.014223981,10.03941704,8.628679462,11.93770288
MVIR1HS111D0PBMC1RSQ1,8.843410571,11.88969945,8.675736069,6.763684839,10.34517616,8.593433005,10.61847923,8.703828743,8.760830762,8.753524161,8.675736069,9.379754515,7.869183846,12.54407427,10.74763781,8.037538964,8.449687183,8.733854172,7.996291516,10.84527779,8.927956224,9.761878854,11.60039197,9.539086734,10.53136292,11.40786944,12.02560055,9.365509378,9.091078743,7.864583936,10.31673349,10.44315605,9.940938048,9.344679855,8.985119454,10.36436007,8.852550178,7.490184265,8.910569298,12.32634973,13.47260081,7.666558914,11.50067802,10.55590182,10.49048282,12.07976051,7.677178345,10.52711397,10.08480987,10.56491088,9.71526963,8.598889639,8.191261203,6.072324855,9.749759074,11.30784984,10.70125651,11.13907243,8.733854172,7.634188442,7.127660914,9.379754515,10.03177903,11.92428846,11.04961083,7.382466371,10.86111445,8.425265728,8.045642936,8.053699773,8.234254277,8.061710042,10.22087041,9.685033719,11.22636574
MVIR1HS127D0PBMC1RSQ1,7.516574908,12.19443181,7.505971366,6.96515589,10.28858309,9.10913977,11.08844005,8.898977189,7.473641005,9.740577957,8.849321361,9.82789255,7.969648072,12.85336695,9.808367799,7.066755123,9.011535558,8.624210759,7.323533819,9.749228611,9.114185047,10.35378003,11.57367266,10.3530716,9.621928882,10.32444469,10.97382137,8.588231324,8.826911915,7.13956484,10.33811344,7.22168811,11.30636196,9.694287415,8.989723236,9.323116565,5.694325193,6.499016802,7.208366475,13.1823655,11.59748005,6.085660154,11.40666178,10.50874513,11.03558293,10.70635028,8.182904337,10.25938787,10.3997826,11.19658895,10.09366501,7.547886328,7.855427363,6.002415455,8.969431411,11.1791181,10.95900598,11.60552748,7.847188141,6.923685887,7.698914541,9.134189951,9.624282893,12.50503377,5.881937084,7.632804951,11.23398797,6.559147512,7.685018674,8.306881401,8.150111209,8.046822069,10.63414717,9.150649515,11.2500499
MVIR1HS130D0PBMC1RSQ1,9.477432265,11.10164099,8.166135733,7.044026246,11.27648868,8.634246573,10.55551251,8.214279159,9.621342172,8.234830994,8.368174594,8.450520365,7.646261456,12.25405187,11.80228009,6.838519589,7.947776604,9.375404672,8.159999267,11.90524936,8.661420132,9.776528668,11.44316069,9.61528018,10.81487109,12.98408624,12.80394559,8.719430224,9.055666445,7.784304882,9.666275978,7.40685365,8.699657346,7.924281712,9.455378447,9.56641178,6.047971838,5.806572257,8.878627671,13.11824828,14.48758021,7.945983475,9.399355151,11.19439051,10.01229157,13.31133406,7.1133376,10.6324362,9.961981407,10.67774976,13.1840377,8.793919084,8.798814072,5.491896381,11.2856943,11.53341356,11.20083201,10.2680453,9.434860188,6.61451068,6.871911684,8.762185664,10.11340203,10.03102362,5.820501215,7.997059981,9.757147167,6.924227027,8.554103392,7.229151145,8.891505543,8.466674355,9.929952803,9.303801329,11.56514054
MVIR1HS131D0PBMC1RSQ1,8.623335363,11.85176087,8.080336348,7.192584118,11.01752418,8.779037991,11.11741829,8.375571589,9.557880368,8.496334504,8.263828348,8.707019396,7.915098011,12.53101604,11.38299344,7.050273814,7.940861869,7.24743,8.051189162,11.09588778,9.095708938,10.53399424,11.95178619,9.71403009,10.65769512,11.87559233,14.23173328,8.661986782,9.118028281,8.867519303,10.17964351,9.104119588,10.07126087,8.669592195,9.185611888,9.59606145,6.214552427,7.2581211,8.366200204,12.50306513,13.99634759,7.214807669,10.34312522,11.13455043,10.15027166,12.689613,7.642548069,10.65769512,10.18360273,10.90460764,11.59386913,8.412444944,8.761372689,5.576612682,10.4803066,11.4578541,10.9564015,10.21489053,8.810292743,6.241868044,7.024879097,9.918045061,9.961754773,11.21792769,7.099541666,7.806911581,10.35604406,7.268723508,8.398730425,7.508981317,9.058679635,7.764024908,10.25557728,10.89820124,11.60865548
MVIR1HS143D0PBMC1RSQ1,8.387724255,11.49830771,7.477520247,7.338939389,11.49054546,8.710553972,10.26301136,8.151220826,10.00235957,8.716315647,8.044125629,8.313238871,7.241336518,12.2096738,11.10284422,6.740878755,7.628312003,7.632499166,8.07471219,11.64112505,8.663598555,10.13715602,12.55421965,9.958765769,10.46507129,12.92256597,13.18368888,7.941439425,8.796430156,7.763848199,9.807875737,5.584112613,11.73444848,8.807258394,9.057255525,9.259499013,5.537510993,5.584112613,8.173940097,13.53983885,14.05422042,7.993736736,10.53792938,10.35082533,10.30600779,13.34640136,7.477520247,10.54705039,10.20111849,9.655261548,11.18725261,8.392552359,8.615034857,5.969537204,11.61305794,11.50382671,11.18416199,11.02244487,9.415691281,6.44875797,7.317880709,8.651612738,9.936871872,11.11587887,5.234901474,7.713617618,9.909652054,6.008372246,8.503723755,7.673668617,7.961284121,7.914526733,9.928677703,8.907891178,11.88202153
MVIR1HS148D0PBMC1RSQ1,9.469792271,11.65419892,9.076637902,7.940866024,10.47414323,8.702520185,11.71463895,8.030029313,9.454077814,8.619928679,8.805660365,7.573080144,7.940866024,12.61466551,11.25360565,6.495702417,8.647997175,8.438707834,7.378243938,12.12412807,8.702520185,9.268795245,11.37509911,9.54588212,10.52004978,12.01621209,14.88924244,9.213808464,8.90182433,8.501733496,10.30086712,9.338973259,9.765366746,10.01039856,9.213808464,9.80303295,6.867802539,7.306274913,10.12382176,11.85252277,14.39252928,6.867802539,11.29818036,10.92448579,9.603976942,13.663356,6.634297787,10.81215,10.08360361,11.03397878,12.11169631,8.619928679,8.854554116,5.234901474,11.72447056,11.09589325,10.97478907,11.0806621,10.16294665,6.867802539,5.234901474,10.21970976,9.999629918,10.56453871,9.355993511,6.335018707,9.8636966,7.845523437,7.230044345,6.757077257,9.700309431,8.338543746,9.921904311,9.815372178,11.55115971
