Feature,Importance
TGFBI,0.08999450530522066
ANKRD20A11P,0.06371216142713068
SYMPK,0.054948760284079745
HLA-DQB1,0.030597848495483703
OLIG1,0.024408907269247358
U2AF1,0.02297685015135963
MED28,0.01936655183850164
FAM104B,0.01846112925313117
MASTL,0.0174832952151628
MOSPD1,0.01507306855235477
PRKCH,0.014001183229496813
CACNA2D4,0.01384699451045929
GEN1,0.013793733048198548
COMMD9,0.011567246448693743
GCNT4,0.010588834714651362
SUPT5H,0.00980040716247639
FAM120AOS,0.009725809387871027
DGLUCY,0.009182501403167452
TKTL1,0.009112171845611307
HLA-F-AS1,0.009072820888232757
FUCA2,0.008459574876702767
IFITM1,0.007990945472019275
RAD17,0.007839417934147882
TOLLIP-DT,0.007486911600416946
VTI1B,0.007417118318299201
SH2D3C,0.007413664198668714
DNAJC6,0.007329405093045716
GARS1,0.00721999235405995
CHD1L,0.007183532068208729
CCNG1,0.007039225199367968
SORT1,0.006778046555492669
SLC7A5P1,0.006645905426168584
IL1RL1,0.00650742603537435
FAM210B,0.006311044877175003
RACGAP1,0.006218722455199564
PMS1,0.006050360293716447
MSH3,0.0060477098760352505
STMN1,0.005749219281910259
HLA-DRB6,0.005603647721049885
TRAIP,0.005583486213107169
BEND5,0.005560452036136833
GPSM1,0.005509671123359725
KDM1B,0.00549425833244667
TRAV38-2DV8,0.00543564048704214
TRBV7-2,0.005427774961285928
EGR3,0.005312019740902311
CDK14,0.005289950989532364
PCNT,0.005213006520791346
BAG1,0.0051752351604594255
WDR11-DT,0.004990538747677593
TEX30,0.004756460450702924
OASL,0.004730000882856288
NT5C3B,0.004696137077499156
RFC1,0.004643119268177763
CD69,0.004639444721335674
SUSD1,0.0046243530282863874
LMNA,0.004509554030494759
CDKN3,0.0044952011707822806
SLC25A1,0.0044396040920840684
RHAG,0.004369011944231264
AACS,0.004201273810255965
FANCG,0.004120460705964424
ZNF667-AS1,0.00394353318504772
PLXNB2,0.00393353583437061
PIAS1,0.003923996448040974
