Feature,Mean_ABS_SHAP
TGFBI,0.653745530507074
SYMPK,0.5650239878729938
U2AF1,0.4103104885696179
HLA-DQB1,0.37079044509607
ANKRD20A11P,0.283353304363731
EGR3,0.2316385089301993
MOSPD1,0.2165128785014186
GEN1,0.18624128852750096
HLA-F-AS1,0.16519970134285988
MASTL,0.15864688350689835
CHD1L,0.13924218229340046
LIPN,0.12961341907323926
VTI1B,0.12689039462080712
OLIG1,0.12255660836462276
GPX7,0.10372180804271662
MED28,0.09928857640278409
KDM1B,0.09664627034999058
FAM104B,0.09587011903274967
TKTL1,0.08603626499130397
GFOD2,0.08228990000746023
CCDC15,0.08177042770823087
C19orf47,0.07882786533021105
CACNA2D4,0.07849170576209162
LINC01550,0.075461351520209
SUPT5H,0.07437700054638441
PRKCH,0.07270022341431334
RHAG,0.07209668614899178
KRT8P12,0.07056975290200031
LOC102724159,0.07037413419785676
SMARCA5,0.06812887028749771
KIF19,0.06740324909621495
GCNT4,0.06564665036018902
LRRC37A3,0.06499923453929059
DNAJC6,0.06493891293512971
GYPC,0.06462332748506613
CHST11,0.06438513844361696
TOLLIP-DT,0.06434071723211207
EPB41L3,0.06372031920009766
FCGBP,0.0624538947278813
BAG1,0.06028422510511959
FAM120AOS,0.057780381639958744
WDR45,0.05694526180785001
MSH3,0.056879249867127994
DTYMK,0.05548289004463082
HLA-DRB6,0.055430385374572504
MFSD13A,0.052339625380382025
PTAR1,0.05233618238970193
STYXL1,0.050684962011129854
TTF1,0.05064534662586416
ZBTB49,0.05055404845912809
NT5C3B,0.05028376306417764
ALG10B,0.04989494248456701
CCNG1,0.0493310179234942
AK9,0.048841243230451505
ZNF287,0.04827016279769631
EXOSC8,0.047704917378901555
DGLUCY,0.04556838475931026
MGRN1,0.045325515530604515
CD3E,0.04495591230527256
IFITM1,0.044760123625799814
CENPN,0.044334433466375826
GPR146,0.043837373734852886
KLRF1,0.04374044411722197
RAD17,0.042553641011324916
LMNA,0.04238206497438116
NCK1,0.04172554209268331
BOLA3,0.04125018657571744
MATN2,0.041239508618739026
GPSM1,0.041147619461689926
ACIN1,0.04101610889288692
PSMB3,0.04100488714949055
TRMT12,0.037844221008631544
NSMCE2,0.03782304495143257
ECM1,0.037427087722150025
BEND5,0.036598704077485236
CDC7,0.0357529886203383
HMCES,0.03527140955825759
TRBV7-2,0.03472076762603819
HMGB3,0.034657967435079436
CENPJ,0.0340918110091355
NPEPPSP1,0.03401270253431006
SH2D3C,0.03375706925164956
WDR11-DT,0.03329174672592531
DHX36,0.032957645205943444
SYNGR3,0.03284592851351287
ELK4,0.032237455863202626
IL1RL1,0.031854059760756455
SYPL1,0.03178932251271348
SPC25,0.03178485070029739
PIAS1,0.03101490663575984
MLH1,0.030742039180687245
BBS4,0.030621760407200237
COMMD9,0.030484826815170136
DENND4A,0.030016062245595675
CEP104,0.02991870678557517
LOC93622,0.02989214699243165
TRAV38-2DV8,0.02977964120398556
PCNT,0.029745383047679097
ZNF133,0.029375041449283056
CCDC167,0.02931614581120021
BCL7A,0.029276813866925048
SPRYD4,0.02916317668217665
CLASP2,0.02903161412351211
PSME1,0.028952760233398014
SUSD1,0.02892923416719491
SLC35B1,0.02869834362883717
PMS1,0.0286835302096669
GMPS,0.028177141026534076
LINC01590,0.028165160274495955
HSPE1,0.027718251661344874
STMN1,0.027197055324145302
RFC1,0.027100944772858494
PLXNA3,0.027087904815071066
ZNF197,0.026890890313647567
PYROXD2,0.026872631646534306
IGLV5-37,0.026741639634874553
SMG5,0.026617347959058808
TFR2,0.026140162348155364
TRMT1,0.026065747872983235
LILRB5,0.025969434977858356
SQSTM1,0.025369611576212432
TMEM140,0.024911200360949095
CDK14,0.02489871028064397
CLK3,0.02485084742333662
APOO,0.024469091178697513
SLC6A12,0.024360428925905613
CNTROB,0.023681743273169208
MTCO1P11,0.02340331069469318
PRSS57,0.02294849908152772
CKAP2,0.02292735120206527
RACGAP1,0.022567716550148977
FAM210B,0.02253934113034939
