Feature,Mean_ABS_SHAP
TGFBI,0.653745530507074
SYMPK,0.5650239878729938
U2AF1,0.4103104885696179
HLA-DQB1,0.37079044509607
ANKRD20A11P,0.283353304363731
EGR3,0.2316385089301993
MOSPD1,0.2165128785014186
GEN1,0.1862412885275009
HLA-F-AS1,0.1651997013428598
MASTL,0.1586468835068983
CHD1L,0.1392421822934004
LIPN,0.1296134190732392
VTI1B,0.1268903946208071
OLIG1,0.1225566083646227
GPX7,0.1037218080427166
MED28,0.099288576402784
KDM1B,0.0966462703499905
FAM104B,0.0958701190327496
TKTL1,0.0860362649913039
GFOD2,0.0822899000074602
