Feature,Importance
CHD1L,85
U2AF1,27
EGR3,26
SYMPK,24
ANKRD20A11P,19
HLA-DQB1,19
LIPN,17
LINC01550,17
TGFBI,17
MOSPD1,15
SMARCA5,14
KRT8P12,12
C19orf47,12
TRMT12,11
GEN1,11
MATN2,11
CACNA2D4,11
TKTL1,11
MASTL,10
COL9A3,10
SUPT5H,9
ARL4D,8
C1GALT1,8
GPX7,8
RHAG,8
KDM1B,7
SYNGR3,7
DNAJC6,7
FCGBP,6
SQSTM1,6
HMGB3,6
IL1RL1,6
RACGAP1,6
SMG5,6
NCK1,6
BAG1,5
STMN1,5
FAM210B,5
CENPN,5
GYPC,5
NPM3,5
HLA-F-AS1,5
FAM104B,5
DTYMK,5
KLRC2,5
GPR146,5
ZNF287,4
VTI1B,4
MGRN1,4
LOC102724159,4
IGLV5-37,4
LLGL1,4
GFOD2,4
HLA-DRB6,4
SLC35B1,4
CENPQ,4
ZBTB49,4
PRKCH,4
GOLGA4-AS1,4
STYXL1,4
TOLLIP-DT,4
CENPJ,3
BOLA3,3
CLINT1,3
SNHG7,3
CIP2A,3
ECM1,3
HLA-DQB2,3
CDS2,3
PDPR2P,3
SLC2A11,3
SUSD1,3
ARL14EP,3
TRAV38-2DV8,3
SLC48A1,3
LINC01590,3
ZNF197,2
MLH1,2
WDR45,2
AAAS,2
HEATR1,2
LOC93622,2
KLRF1,2
TTF1,2
F2RL1,2
PSMB3,2
EPB41L3,2
APOO,2
PSME1,2
ZFYVE19,2
GPSM1,2
SPRYD4,2
BCL7A,2
POMGNT2,2
CNTROB,2
E2F2,2
GCNT4,2
LMNA,2
CCDC15,2
MTCO1P11,2
OLIG1,2
CLK3,2
PRSS57,2
MED28,2
CKAP2,2
HMCES,2
SYPL1,2
SPC25,2
ALG10B,2
CNN3,2
H2AC14,1
EXOSC8,1
PF4,1
CCDC167,1
METTL7A,1
CBFA2T2,1
NIT1,1
BEND5,1
MROCKI,1
PTAR1,1
OASL,1
RPL6P10,1
NKIRAS2,1
PTK2B,1
NCAPH2,1
TNIP2,1
DENND4A,1
TYW1,1
TFR2,1
SEL1L,1
ZNF587,1
COMMD9,1
ATG4D,1
SERINC2,1
PEBP1,1
OTUD7A,1
DHFR,1
GARS1,1
UBE2K,1
CEP104,1
TMEM263,1
MSH3,1
RFC1,1
TRAPPC2L,1
TRMT1,1
METAP1,1
DGLUCY,1
PKP4,1
KLRC1,1
BBS4,1
FAM219B,1
ZNF277,1
CDC7,1
FANCB,1
ELK4,1
TEX30,1
NPEPPSP1,1
SORT1,1
P2RY8,1
FANCG,1
CD69,1
ACIN1,1
FAM120AOS,1
TMEM140,1
AK9,1
CCNG1,1
BHLHE40,1
HCK,1
LRRC37A3,1
C13orf46,1
DDX39B,1
COL6A2,1
CMPK2,1
PYROXD2,1
LOC101927446,1
RAD17,1
NREP,1
RPL41,1
CDKN3,1
CD3E,1
NSMCE2,1
PLXNB2,1
RHOT2,0
ZNF629,0
FBXW2,0
AHCTF1,0
OTOF,0
SLC25A1,0
DACH1,0
DCUN1D2,0
CCS,0
LILRB5,0
PLXNA3,0
HSD17B12,0
CLASP2,0
CHST11,0
TMEM223,0
PTPN6,0
RPAP2,0
P2RX1,0
SLC46A3,0
CDCA5,0
NT5C3B,0
ZNF532,0
TSC22D4,0
SMG7,0
CLEC16A,0
TPRN,0
PRR5L,0
SLC7A5P1,0
ARL4C,0
C1orf116,0
RNU4-2,0
HSPA5,0
TMEM208,0
FUCA2,0
CTSG,0
PMS1,0
CDK14,0
HDAC4,0
ZNF667-AS1,0
SLC6A12,0
RAB31,0
SUPT7L,0
SH2D3C,0
MUL1,0
IL10RA,0
KIF19,0
PCNT,0
AGPS,0
P4HTM,0
PCBP1,0
SMIM20,0
ANKRD35,0
CTIF,0
LINC00989,0
ATXN1,0
PGP,0
RAD54L,0
ZAP70,0
DHX36,0
NFIA,0
C5AR1,0
ANLN,0
SLC22A5,0
ATP8B4,0
WBP1,0
GMPS,0
PLEKHA1,0
LINC02491,0
IFFO1,0
PLIN4,0
TMEM39A,0
MED15,0
TRAPPC3L,0
E2F7,0
CACNA1I,0
UBAC2-AS1,0
AACS,0
DDX52,0
TRAPPC4,0
DGKD,0
ERP44,0
FAM210A,0
WDR11-DT,0
CD72,0
PPM1M,0
EEPD1,0
MTPN,0
MFSD13A,0
ALG9,0
LINC02361,0
ZNF133,0
P2RY13,0
HENMT1,0
TROAP,0
HSPE1,0
ADIPOR1,0
VWA7,0
ATG3,0
TRAIP,0
C11orf24,0
MED23,0
POC1A,0
APEX1,0
SETDB1,0
TRBV7-2,0
GMEB1,0
HAVCR2,0
MICU1,0
PIAS1,0
SIPA1L1,0
PHF19,0
IFITM1,0
NMI,0
KATNIP,0
KAZN,0
ACOT2,0
SSBP1,0
SPCS2,0
