Feature,Mean_ABS_SHAP
TGFBI,0.7190123617567759
U2AF1,0.6477665698475773
EGR3,0.5140331696969394
SYMPK,0.4555272129060397
HLA-DQB1,0.39916186236291246
LIPN,0.2926438367851855
MOSPD1,0.2865403160759717
GEN1,0.26321534112535994
ANKRD20A11P,0.24746363678178343
SMARCA5,0.2362913362276773
LINC01550,0.22960996198693148
CHD1L,0.20947742435626585
CACNA2D4,0.17489874461728083
C19orf47,0.16887088875406486
HLA-F-AS1,0.16195430909372135
TKTL1,0.15945738651924768
SUPT5H,0.1572763254930345
TRMT12,0.1568338915469133
KRT8P12,0.1562490146888786
VTI1B,0.15228000853001591
IL1RL1,0.15215988000929279
NCK1,0.1447031698896972
C1GALT1,0.1291917508945731
DNAJC6,0.12188219986209949
MASTL,0.12143515204070862
GPX7,0.11892263665751321
RACGAP1,0.11741227960754307
MATN2,0.11325619124581669
SMG5,0.11107139976942128
FAM210B,0.09742749462853693
KDM1B,0.0964363949838837
CDS2,0.0950281128863151
TOLLIP-DT,0.09372674003745267
PDPR2P,0.08868297916089679
GFOD2,0.08768857732854382
BAG1,0.08752553796797109
SYNGR3,0.08478022573697079
TMEM140,0.08394083942823488
DTYMK,0.08386472766904297
STYXL1,0.08283112436754235
LOC102724159,0.08125026956265016
CIP2A,0.08072549995491343
ZBTB49,0.07820267471740987
SQSTM1,0.07611523723319175
FAM104B,0.07420858679147387
CENPN,0.06905897890267476
COL9A3,0.06834086600639468
CCDC15,0.06772438215348905
GPR146,0.06560465753248175
SLC2A11,0.06519037807925063
BOLA3,0.06509322838179843
KLRC2,0.06189390276797205
HLA-DQB2,0.06077417688181322
GYPC,0.059616483349638594
HLA-DRB6,0.055749528864594486
EPB41L3,0.05498094953398213
PSMB3,0.05248799866868298
ARL4D,0.05121632172147669
FCGBP,0.05101313324924918
SORT1,0.050058033974515664
CEP104,0.04900092438669815
PSME1,0.0487624017200651
LINC01590,0.048723119302288564
RHAG,0.04781906698337428
GOLGA4-AS1,0.04717820427151891
CKAP2,0.04691520565287348
ARL14EP,0.04671336274450345
MGRN1,0.04504178122713179
TTF1,0.04459659096241019
NPM3,0.04414515017982423
ECM1,0.04315515791908998
AK9,0.04225340994157123
LRRC37A3,0.04175910636474774
MED28,0.04145746966560762
ZFYVE19,0.04084554253645144
ZNF287,0.04055699335720927
CENPJ,0.040284370522529936
PRSS57,0.040266819129617826
ZNF197,0.04022482279107775
SNHG7,0.04015460564780459
CCDC167,0.03978866588163049
SLC35B1,0.039613629041529694
SYPL1,0.03946539464524412
MLH1,0.03913407745526464
KLRF1,0.03862239111449838
UBE2K,0.037528676698709004
CLK3,0.03739557599609588
SUSD1,0.03736930607093932
ALG10B,0.03711562612328682
MTCO1P11,0.03701023336821595
LLGL1,0.03664370690094113
EXOSC8,0.036503029580780305
TRAV38-2DV8,0.03575880485120534
SERINC2,0.035245646988358977
AAAS,0.03495293276310008
NSMCE2,0.03376624165785991
STMN1,0.033579094746267156
ZNF277,0.03235927576894547
HMGB3,0.03165887820941384
CLINT1,0.031141468420013568
LMNA,0.030181836114681736
RPL6P10,0.02912749353475097
FANCG,0.0271385847528131
FAM219B,0.025967288755447637
F2RL1,0.02501124920271341
WDR45,0.02432183022366796
SLC48A1,0.023852684813403982
CENPQ,0.02376861216673099
GPSM1,0.023476337993536562
C13orf46,0.023293475881934114
H2AC14,0.022647575275604275
POMGNT2,0.022369302299015577
TFR2,0.02190317469880431
PLXNB2,0.02175194423920013
P2RY8,0.021724815807380855
BEND5,0.02125413598612586
FAM120AOS,0.019855084151209658
CNTROB,0.01953381810743302
CD69,0.019446921348367324
SEL1L,0.01944251472167389
ZNF587,0.019069575223209644
SPRYD4,0.0186873318549875
TEX30,0.018310830611086282
PTAR1,0.018139030724965293
OTUD7A,0.018055965525066452
HMCES,0.017209828160059445
NKIRAS2,0.01674959716452093
SPC25,0.01621758611179633
KLRC1,0.01572521137700783
LOC93622,0.015564906433215566
COL6A2,0.015263763012851749
RFC1,0.015244304068891747
BCL7A,0.01500608742279013
PYROXD2,0.01486912413252717
LOC101927446,0.014255962749704684
DDX39B,0.014127564068785145
E2F2,0.013920115029813537
APOO,0.013780553606343377
TRAPPC2L,0.013578237647594568
NIT1,0.013437097303515609
HCK,0.013132463640951898
ACIN1,0.013098268805752558
CDC7,0.013012060462877843
NREP,0.012755182318501142
IGLV5-37,0.01256332912143562
TNIP2,0.012545370558940448
METTL7A,0.012103504616917829
NPEPPSP1,0.011997481057405527
TYW1,0.0119571640807557
HEATR1,0.011940423975362444
GARS1,0.01173181155890178
TRMT1,0.01147271950165297
CD3E,0.010956425486167367
DHFR,0.010747642180234551
CNN3,0.010281347855907728
CBFA2T2,0.00994830115382545
METAP1,0.00972865056253493
ELK4,0.009617367647783526
GCNT4,0.009357287431110136
PKP4,0.00924781267267247
BBS4,0.009245986595279502
OLIG1,0.00921009151201457
PRKCH,0.009044566210377167
OASL,0.008787818878455285
MSH3,0.008300303177833757
BHLHE40,0.007716502373475699
CMPK2,0.00760495375376863
COMMD9,0.007272707213404409
TMEM263,0.007262285417786231
DGLUCY,0.006827125337342076
PTK2B,0.006823465763532767
CDKN3,0.006614345630362421
RPL41,0.005641511273477758
RAD17,0.00559649781789532
MROCKI,0.0052852416076119854
FANCB,0.005231069710943819
PF4,0.004585957731888771
NCAPH2,0.003828828738694047
ATG4D,0.003750172010957909
PEBP1,0.0032623342523284194
CCNG1,0.0027960365717518564
DENND4A,0.002462450274368503
ANKRD35,0.0
SLC25A1,0.0
AHCTF1,0.0
C1orf116,0.0
P2RX1,0.0
CCS,0.0
LINC00989,0.0
ZNF629,0.0
TMEM223,0.0
HSD17B12,0.0
PLXNA3,0.0
CHST11,0.0
FBXW2,0.0
DCUN1D2,0.0
RHOT2,0.0
OTOF,0.0
PTPN6,0.0
RPAP2,0.0
LILRB5,0.0
CLASP2,0.0
DACH1,0.0
NT5C3B,0.0
TRAPPC4,0.0
P4HTM,0.0
CDK14,0.0
PMS1,0.0
FUCA2,0.0
HSPA5,0.0
CTSG,0.0
TMEM208,0.0
RNU4-2,0.0
SLC7A5P1,0.0
ARL4C,0.0
ZNF532,0.0
CLEC16A,0.0
PRR5L,0.0
TPRN,0.0
SMG7,0.0
HDAC4,0.0
CTIF,0.0
ZNF667-AS1,0.0
TSC22D4,0.0
SUPT7L,0.0
SH2D3C,0.0
SLC6A12,0.0
RAB31,0.0
MUL1,0.0
IL10RA,0.0
PCBP1,0.0
CDCA5,0.0
SMIM20,0.0
PCNT,0.0
AGPS,0.0
KIF19,0.0
ATXN1,0.0
PGP,0.0
ATP8B4,0.0
ACOT2,0.0
IFFO1,0.0
SETDB1,0.0
MED15,0.0
TMEM39A,0.0
TRAPPC3L,0.0
ZAP70,0.0
