Feature,Mean_ABS_SHAP
TGFBI,0.7190123617567759
U2AF1,0.6477665698475773
EGR3,0.5140331696969394
SYMPK,0.4555272129060397
HLA-DQB1,0.3991618623629124
LIPN,0.2926438367851855
MOSPD1,0.2865403160759717
GEN1,0.2632153411253599
ANKRD20A11P,0.2474636367817834
SMARCA5,0.2362913362276773
LINC01550,0.2296099619869314
CHD1L,0.2094774243562658
CACNA2D4,0.1748987446172808
C19orf47,0.1688708887540648
HLA-F-AS1,0.1619543090937213
TKTL1,0.1594573865192476
SUPT5H,0.1572763254930345
TRMT12,0.1568338915469133
KRT8P12,0.1562490146888786
VTI1B,0.1522800085300159
