Feature,Importance
ANKRD20A11P,1.0582346298747005
HLA-DQB1,0.7580991331839918
U2AF1,0.7185766215480932
STYXL1,0.7013329228230487
SYMPK,0.6951310339406046
ZNF667-AS1,0.6767843997132711
MASTL,0.6684290512203965
TGFBI,0.619191590967864
SNHG7,0.6146512301000763
COL9A3,0.6006974648639221
GOLGA4-AS1,0.5983611535355763
TOLLIP-DT,0.596624898036594
CHD1L,0.5888273932048594
HSPA5,0.583495404508703
BCL7A,0.5793915855522173
AK9,0.5751526600483221
LIPN,0.5504874779093094
E2F2,0.515686583422019
P2RY13,0.509424238645491
H2AC14,0.509044621277218
C11orf24,0.48020386443735874
SMG5,0.4691430339595294
KRT8P12,0.46033439601151704
ZNF287,0.4574818768817076
ECM1,0.456018208119843
MOSPD1,0.45464982054844677
NCAPH2,0.45286585987844075
CENPN,0.4495987103842459
F2RL1,0.42428242044805153
IL1RL1,0.4238928813176624
HSPE1,0.41242055478654577
HLA-DRB6,0.4074072563325397
KDM1B,0.4025778435787055
LRRC37A3,0.3937896527822408
LLGL1,0.3924865996664289
ARL14EP,0.39145373022435365
EGR3,0.38973948775273337
C1GALT1,0.38407397295078705
CMPK2,0.37992616777644894
HLA-F-AS1,0.37195757871823504
FCGBP,0.3712502345106695
LOC102724159,0.3649071058465527
PKP4,0.36442581578982164
SLC6A12,0.35862769037112796
C13orf46,0.35478041229436147
SPC25,0.3503341448938065
GFOD2,0.3491381931277646
TPRN,0.33971574079535444
PYROXD2,0.3367059926243033
COL6A2,0.3309214967730866
SMG7,0.3291388573958982
MFSD13A,0.3192557885172487
LINC02361,0.31506315992022144
TRMT12,0.31443529893094213
HSD17B12,0.3130950058387906
SLC48A1,0.31195446209020883
DNAJC6,0.311130092911942
HMCES,0.30690777413340253
C5AR1,0.3059590444486774
CCDC15,0.3048483872524194
PLXNA3,0.3041896005031135
C1orf116,0.3037390297591038
SUPT5H,0.3001064618896969
DHX36,0.29387374381231784
CIP2A,0.2922858739302688
GCNT4,0.29102515718947874
PLIN4,0.2908671629416433
DTYMK,0.288176934517988
HMGB3,0.2862489835868325
IGLV5-37,0.28477261298974205
CNN3,0.2843075159618711
ADIPOR1,0.2829728554024945
TYW1,0.28171969382277806
LILRB5,0.2757647303144702
DHFR,0.2741176739188026
PRSS57,0.2733403068192648
SPRYD4,0.27329014048711026
HDAC4,0.2726685018004653
GEN1,0.2725992633259336
GPX7,0.2687189040723224
AACS,0.2679080074953561
FAM210B,0.2677730875267993
ZBTB49,0.2659467314047539
CCDC167,0.2639800621340957
RAD17,0.2616432620516787
SQSTM1,0.26096137296072164
TROAP,0.26023771904182263
KLRC2,0.25857880012711626
CCNG1,0.2578404318573373
P2RX1,0.256774582512427
TSC22D4,0.25630967160403756
RPL6P10,0.24928892474958173
TRAV38-2DV8,0.245422876281212
BEND5,0.24263529244518334
ALG9,0.2424226078784967
ZNF532,0.24054890150029476
VTI1B,0.23778094989307316
CDCA5,0.23655692360795116
FBXW2,0.23651889391627268
CACNA1I,0.2350781641227095
DENND4A,0.23113448791285654
ARL4D,0.22996205589231214
DDX39B,0.2297398767391424
PGP,0.22834878138139597
HLA-DQB2,0.22708255321035775
SYNGR3,0.2261927928899548
PIAS1,0.22324493453596006
NT5C3B,0.2211266956228104
CNTROB,0.220721239707012
C19orf47,0.21904552645680467
TEX30,0.21639716384165444
RHOT2,0.2132609246491124
WDR45,0.21239953808817955
CENPJ,0.20917893957028577
SLC22A5,0.20746786467914818
LINC01590,0.20561110452907896
OLIG1,0.20431694617282778
SUSD1,0.20406119149558424
ZNF629,0.20354623934925128
NREP,0.20186186987726396
SORT1,0.20184762230962375
ERP44,0.2006867716360682
