Feature,Mean_ABS_SHAP
ANKRD20A11P,0.8035894649302601
U2AF1,0.7639086362095754
HLA-DQB1,0.6912218911203103
HLA-DRB6,0.6756380450870146
COL9A3,0.4277961936542722
E2F2,0.42710319048900736
CMPK2,0.3930818916093347
H2AC14,0.36672445860443925
FAM210B,0.35277144374263136
TGFBI,0.35029798833304293
EGR3,0.3140258189294357
DNAJC6,0.3138838298309911
MOSPD1,0.3055154946951487
KDM1B,0.2930180017566232
IGLV5-37,0.28594838717152615
BCL7A,0.2844171028424486
ADIPOR1,0.2842432533248067
P2RY13,0.2713842745948643
GOLGA4-AS1,0.2665185745712849
SYMPK,0.25884992669397555
F2RL1,0.2572790624840195
ZNF667-AS1,0.25516270729723267
HSPA5,0.24813829293502657
C13orf46,0.23435363676866147
IL1RL1,0.23260131792834798
GFOD2,0.232421843624353
TOLLIP-DT,0.2300818739780595
LLGL1,0.22031017007704892
C1orf116,0.22011594756243116
COL6A2,0.2170550021742372
LIPN,0.21658265462050091
PLIN4,0.2133587886007706
FCGBP,0.21162093293237821
ECM1,0.20609091871041404
GYPC,0.20278602088691258
C5AR1,0.2026477503138432
SLC48A1,0.20188617162079314
SNHG7,0.1915762430296623
LILRB5,0.19048020438391863
SPC25,0.1887297223166945
PRSS57,0.18664446399634838
GPR146,0.18559451643924813
MASTL,0.1815309343562769
ZNF287,0.18025350738100462
KLRC2,0.17935675640588272
HSPE1,0.1782892071378218
RHAG,0.17546939984448928
HLA-DQB2,0.1704453724547121
STYXL1,0.16965875535700348
SLC6A12,0.16492951692984376
PKP4,0.16348634980039448
TROAP,0.16171760165428972
PLXNA3,0.15137774110586708
LOC102724159,0.14541003176535447
P2RX1,0.14268408109048433
CENPN,0.14195804061084458
CNN3,0.14015889931913036
WDR11-DT,0.13686562054560258
MATN2,0.13634336313624149
C11orf24,0.1358718119588665
DHFR,0.1346135239018952
ARL14EP,0.13349010105033887
CACNA1I,0.1316677908337504
DENND4A,0.1314453778047136
CDCA5,0.1306071043406376
LINC02361,0.1290168580846015
HMGB3,0.126510905130807
C1GALT1,0.12649847652944368
CHD1L,0.12630115305594744
OLIG1,0.1240095608925147
CCDC167,0.12219989164752013
HSD17B12,0.12084936494786855
MFSD13A,0.11783634272169877
AK9,0.11657987443823165
NT5C3B,0.11483412200484766
LRRC37A3,0.11333336891813675
BEND5,0.11218559989242576
SMG7,0.11217956297107518
TRAV38-2DV8,0.11067182780662303
GCNT4,0.10850432625745975
SMG5,0.10792038669735146
WDR45,0.10263724950287759
PIAS1,0.10125301758760324
HLA-F-AS1,0.10092636281151718
TPRN,0.10036733739833023
BAG1,0.10028882160167918
CTSG,0.098753858816966
CCDC15,0.09815021027726231
HDAC4,0.09774755782628862
PYROXD2,0.09709273919108533
CIP2A,0.09688206364240504
VTI1B,0.09579522222566723
DTYMK,0.09324844376615755
ZNF532,0.09211337759504927
GPX7,0.08901112184959402
BHLHE40,0.08840821264297138
TSC22D4,0.08713140567674933
NCAPH2,0.08706006440007541
KRT8P12,0.08688236340856799
LMNA,0.08602663238723043
PRR5L,0.08456961431803238
RNU4-2,0.08385624076241932
CCS,0.0834205587451039
SYNGR3,0.08295734695544245
STMN1,0.08254007783874025
DHX36,0.08199791098005721
TRMT12,0.08012627054301501
GEN1,0.08008859290995364
RACGAP1,0.07777367901956565
DDX39B,0.07633641168071549
SORT1,0.07589420723165483
KIF19,0.07324736271154182
SQSTM1,0.07256526270851318
CD72,0.07203648154099578
RAD17,0.07000494615246569
DACH1,0.06916529853254079
PDPR2P,0.06910364299650285
MTCO1P11,0.06747062319996061
LINC01550,0.06734028806244641
TFR2,0.06714308303520955
CCNG1,0.06656167468302297
PGP,0.06621722684535902
ZBTB49,0.0658957431007623
RPL6P10,0.06557689315147745
PLEKHA1,0.06501604690796083
SPRYD4,0.0646090868073463
ARL4D,0.06429738178106309
FANCG,0.06324718553762555
LINC00989,0.06243405835631021
TKTL1,0.062399102032051616
FAM104B,0.06227040789821601
TYW1,0.06207830412701786
PEBP1,0.06131032902946165
ZNF629,0.060452030296453435
NMI,0.06027170454311215
ATP8B4,0.06012055210527692
TEX30,0.06003011833435274
PSME1,0.05972658922405392
PLXNB2,0.05950591206045986
IL10RA,0.05925608566980742
CD3E,0.05897982643229325
EPB41L3,0.05771246936979319
HMCES,0.05696290061351255
SLC22A5,0.0568472947303489
SUSD1,0.05626008785020716
SPCS2,0.05572291925471136
ERP44,0.05509558192071881
ELK4,0.05447512322024822
PRKCH,0.054001453257073846
TMEM140,0.05384953164764403
FUCA2,0.05309665714331937
PF4,0.053021547894764376
LINC01590,0.05255136518382997
CDKN3,0.052464581958992194
ALG9,0.052441416387464815
METTL7A,0.05116534782227411
NPM3,0.05103633068433214
CD69,0.04968108592320437
FBXW2,0.04955443405346084
PTK2B,0.04948159788385913
SUPT5H,0.049356938656838704
CLASP2,0.04935693822594758
TMEM39A,0.04905712220514269
CKAP2,0.0481129208085776
OTOF,0.04699795256256099
NREP,0.046995420277194784
ZNF587,0.0466003108945545
PMS1,0.046544613244183033
CENPJ,0.0459406830386579
APOO,0.04583744804266897
NCK1,0.04526903376453646
CNTROB,0.04496947333601689
RHOT2,0.0448005650085279
PTAR1,0.0447550528456949
PPM1M,0.04257800969151056
CLK3,0.0408408072511267
SYPL1,0.04075441189804202
LOC93622,0.040184206540203195
HENMT1,0.04015218390478306
TRMT1,0.03889093500241718
AACS,0.03863899210516472
TRAPPC2L,0.0386238815978985
IFFO1,0.03860262685746187
SLC35B1,0.03844831576563346
TRBV7-2,0.03837858024927946
ANKRD35,0.03765809124149488
CLINT1,0.03737852231190972
POC1A,0.037367011727791194
SLC7A5P1,0.036645107610517966
ZAP70,0.03660050182200682
