Feature,Mean_ABS_SHAP
ANKRD20A11P,0.8035894649302601
U2AF1,0.7639086362095754
HLA-DQB1,0.6912218911203103
HLA-DRB6,0.6756380450870146
COL9A3,0.4277961936542722
E2F2,0.4271031904890073
CMPK2,0.3930818916093347
H2AC14,0.3667244586044392
FAM210B,0.3527714437426313
TGFBI,0.3502979883330429
EGR3,0.3140258189294357
DNAJC6,0.3138838298309911
MOSPD1,0.3055154946951487
KDM1B,0.2930180017566232
IGLV5-37,0.2859483871715261
BCL7A,0.2844171028424486
ADIPOR1,0.2842432533248067
P2RY13,0.2713842745948643
GOLGA4-AS1,0.2665185745712849
SYMPK,0.2588499266939755
