Feature,Importance
TMEM140,0.035241943
VTI1B,0.024832455
SPRYD4,0.023960372
GEN1,0.02256878
PIAS1,0.017964924
SLC7A5P1,0.016096637
PLXNA3,0.015899334
SMG7,0.0143781835
SYMPK,0.013544118
PMS1,0.012756818
TGFBI,0.012413139
HLA-DQB1,0.012396685
LINC00989,0.0122262295
RAB31,0.012156425
U2AF1,0.012120034
KLRC2,0.01103437
FAM104B,0.010826198
NT5C3B,0.010573681
BBS4,0.010512913
DDX39B,0.010355756
ANKRD35,0.0100262575
FCGBP,0.009891902
LOC93622,0.009853347
KLRC1,0.009811776
PCBP1,0.009790621
CTSG,0.009607533
RHOT2,0.009575815
BAG1,0.009372545
APEX1,0.0090052765
APOO,0.008984559
CLK3,0.008898512
GMPS,0.008251458
BOLA3,0.008228113
MSH3,0.008220992
IL1RL1,0.008220004
LINC01590,0.007945301
SPC25,0.007868102
GFOD2,0.0077518383
ALG10B,0.007732655
GARS1,0.0075788614
ANKRD20A11P,0.007507637
ZNF287,0.007471096
CHST11,0.007173466
GCNT4,0.006794412
KRT8P12,0.006766653
SLC6A12,0.006711222
OLIG1,0.0066097374
CHD1L,0.0065621575
CTIF,0.0064131846
EGR3,0.0063972105
F2RL1,0.0063893804
CACNA2D4,0.0061996914
SH2D3C,0.0061643682
IFITM1,0.0061332295
POMGNT2,0.0059650633
ZFYVE19,0.00591706
HLA-DRB6,0.0056803804
SUSD1,0.0056738174
SLC2A11,0.005671415
ELK4,0.005564268
MASTL,0.005396496
ARL4C,0.005006124
CDC7,0.0049412977
C19orf47,0.0048665786
HLA-F-AS1,0.004505178
ARL14EP,0.0044783438
BHLHE40,0.0044365283
LILRB5,0.0044080135
LINC01550,0.0043928535
EPB41L3,0.004375532
ZNF629,0.004364151
TTF1,0.0042752204
TMEM223,0.0042212573
GOLGA4-AS1,0.0041022184
PLEKHA1,0.0040383576
COL6A2,0.0040337634
NCAPH2,0.0040100818
CLINT1,0.0039048688
CDCA5,0.0038894454
C1orf116,0.0038848436
SMARCA5,0.0038153443
IFFO1,0.003812687
ATP8B4,0.0036050503
LIPN,0.003604974
SMG5,0.00357016
DDX52,0.0035624253
OTUD7A,0.0035209178
SNHG7,0.0035053769
PDPR2P,0.00347038
RHAG,0.0033728608
E2F2,0.0033726916
CNTROB,0.0033688403
MGRN1,0.0033584232
MOSPD1,0.003338832
OASL,0.0033056089
BCL7A,0.0032086917
SLC25A1,0.0031871025
GPSM1,0.003176896
