Feature,Mean_ABS_SHAP
TGFBI,0.47278082
EGR3,0.39571723
HLA-DQB1,0.3484825
U2AF1,0.3476425
SYMPK,0.34638909
LIPN,0.25711393
ANKRD20A11P,0.22480226
GEN1,0.2060895
CHD1L,0.1883469
FAM104B,0.17995457
LINC01550,0.17391835
MOSPD1,0.14969711
VTI1B,0.14199525
MASTL,0.14197323
KRT8P12,0.13946104
HLA-F-AS1,0.13769428
BCL7A,0.123519324
SUPT5H,0.1137558
C19orf47,0.11227987
NCK1,0.11225397
ARL4D,0.1029857
CLK3,0.100560196
STYXL1,0.096012436
ZBTB49,0.09299581
FCGBP,0.09217264
KDM1B,0.08931019
GFOD2,0.08892369
C1GALT1,0.08890621
CENPN,0.08537624
BAG1,0.083806604
HLA-DRB6,0.08301608
SYNGR3,0.08051356
GPR146,0.080166414
TTF1,0.07878397
MATN2,0.078640126
TMEM140,0.078337304
CACNA2D4,0.0756112
KLRC2,0.07534606
GCNT4,0.070875525
AK9,0.06934886
HSPE1,0.06886549
SPC25,0.06850483
ZNF287,0.065851614
CNTROB,0.059716918
IGLV5-37,0.05920255
LOC102724159,0.058982
TKTL1,0.05894929
BOLA3,0.0575202
SLC48A1,0.056548234
STMN1,0.055536214
LINC01590,0.05383736
SMARCA5,0.052134775
EPB41L3,0.05158623
NPEPPSP1,0.04962943
FAM210B,0.049045164
CENPJ,0.046996884
GARS1,0.042799603
SQSTM1,0.042054348
DNAJC6,0.04134141
OLIG1,0.040601354
CCDC15,0.040418744
TRMT12,0.037895393
KIF19,0.037763596
TSC22D4,0.037565224
BEND5,0.037055142
MFSD13A,0.03618549
CDC7,0.036143776
LMNA,0.036121447
HMCES,0.03587052
NCAPH2,0.03566914
RHAG,0.035604652
FANCB,0.035430294
GOLGA4-AS1,0.035099763
SMG5,0.03504439
PMS1,0.034947447
ZNF667-AS1,0.034881964
OASL,0.03458546
EXOSC8,0.033609685
CCDC167,0.033459835
IFITM1,0.03343051
APEX1,0.03277379
MGRN1,0.032395836
CHST11,0.032179385
PCBP1,0.03213373
RACGAP1,0.031155935
ECM1,0.031006545
SNHG7,0.030658267
GPSM1,0.030275518
SUSD1,0.030103251
ZNF629,0.0300269
UBE2K,0.02975734
APOO,0.029741203
LRRC37A3,0.028769404
OTOF,0.027933348
PRKCH,0.027382594
NT5C3B,0.027337978
HLA-DQB2,0.02732729
SLC35B1,0.026943093
CDK14,0.026848208
GMPS,0.025795398
GPX7,0.025302153
SORT1,0.025070027
TOLLIP-DT,0.025053108
CLASP2,0.024822949
NSMCE2,0.02479975
IL1RL1,0.024792293
C1orf116,0.024293173
LILRB5,0.023920136
ACIN1,0.023823984
SLC7A5P1,0.023564667
PHF19,0.023377286
MLH1,0.023309262
SYPL1,0.023212194
GYPC,0.022553107
SPRYD4,0.02251635
PRR5L,0.022077309
MED28,0.021380505
CMPK2,0.021271
SLC2A11,0.020591065
PSME1,0.020575419
PIAS1,0.02043134
DTYMK,0.020317242
AAAS,0.01951507
WDR45,0.019274427
ALG10B,0.019086175
MED15,0.018974883
HMGB3,0.018950706
RPL6P10,0.018635284
NMI,0.018540572
TRAIP,0.018369872
WDR11-DT,0.018333895
DDX52,0.017946701
RHOT2,0.017628497
RPAP2,0.017563947
ATG4D,0.017268572
SSBP1,0.017156782
AACS,0.016730178
TFR2,0.016638128
BHLHE40,0.016572865
ELK4,0.016263122
ZAP70,0.016065005
LOC93622,0.015989725
P2RY13,0.01590836
TRMT1,0.015894655
F2RL1,0.015623432
SH2D3C,0.015459717
FANCG,0.015311893
NPM3,0.015265222
MUL1,0.015218129
CD72,0.015156524
CNN3,0.014837016
RAD17,0.014110367
CTSG,0.013717836
OTUD7A,0.013586722
HSPA5,0.013341692
TEX30,0.012996378
POMGNT2,0.012964347
PF4,0.012880396
PRSS57,0.012724928
MSH3,0.012686644
TMEM208,0.012633052
DENND4A,0.012562569
ANKRD35,0.012305965
DACH1,0.011977669
SEL1L,0.011548961
CLINT1,0.011530844
ARL14EP,0.01116515
IL10RA,0.011002809
MED23,0.010297173
CCNG1,0.010173972
RAD54L,0.010015414
C11orf24,0.009676971
RPL41,0.0096261995
CACNA1I,0.009576771
BBS4,0.009349617
LINC00989,0.009304943
LLGL1,0.009279517
NKIRAS2,0.009259448
HENMT1,0.0091471765
TRAV38-2DV8,0.009017626
SLC22A5,0.008977721
TPRN,0.008965071
ERP44,0.008840445
SLC46A3,0.00872346
